participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,1,2.785,,,,,,,,,1.485,v,2.374,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,1,0.827,,,,,,,,,-0.273,v,0.497,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.177,,,,,,,,,-1.323,v,0.134,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.145,,,,,,,,,-1.155,v,0.134,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.147,,,,,,,,,-1.353,v,0.819,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,1,0.212,,,,,,,,,-1.288,v,0.302,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.228,,,,,,,,,-0.872,v,0.267,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.194,,,,,,,,,-1.106,v,0.15,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.463,,,,,,,,,-0.637,v,0.397,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,0.00625,-0.238888889,1,0,0,,,,,
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,1,1.258,,,,,,,,,-0.242,,,,,,,,,1.5,images/target_square.jpg,,,,,,,0,0,0,2,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,c,1,4.228,,,,,,,,,2.928,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,1,1,3,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,b,1,2.461,,,,,,,,,0.961,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,2,2,4,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,1.028,,,,,,,,,-0.072,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,3,3,7,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,c,0,0.347,,,,,,,,,-0.953,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,4,4,8,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,c,1,0.264,,,,,,,,,-1.236,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,5,5,6,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,b,1,0.098,,,,,,,,,-1.202,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,6,6,1,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.278,,,,,,,,,-0.822,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,7,7,0,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,1,0.831,,,,,,,,,-0.269,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,8,8,5,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,1,0.171,,,,,,,,,-1.129,,,,,,,,,1.3,images/target_square.jpg,,,,,,,1,0,9,8,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,c,0,0.278,,,,,,,,,-1.222,,,,,,,,,1.5,images/target_square.jpg,,,,,,,1,1,10,2,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.76,,,,,,,,,-0.74,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,2,11,6,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,b,0,0.794,,,,,,,,,-0.306,,,,,,,,,1.1,images/target_square.jpg,,,,,,,1,3,12,5,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.647,,,,,,,,,-0.853,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,4,13,4,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,c,0,0.595,,,,,,,,,-0.505,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,1,5,14,7,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.643,,,,,,,,,-0.457,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,6,15,0,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,b,0,0.564,,,,,,,,,-0.736,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,7,16,3,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.597,,,,,,,,,-0.703,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,8,17,1,1
.-,001,2023-12-19_11h18.00.231,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
