keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.6446,,,,,,,,2.3446,space,5.6936,0,0,0,8,1,1.3,images/target_square.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
b,1,3.5835,,,,,,,,2.2835,space,3.0742,0,1,1,1,1,1.3,images/target_plus.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
v,1,3.3144,,,,,,,,2.2144,space,0.6602,0,2,2,5,1,1.1,images/target_square.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
v,0,2.3345,,,,,,,,0.8345,space,0.9612,0,3,3,4,1,1.5,images/target_plus.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
c,0,2.421,,,,,,,,0.921,space,4.8252,0,4,4,2,1,1.5,images/target_square.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
b,1,3.7849,,,,,,,,2.6849,space,5.6541,0,5,5,7,1,1.1,images/target_plus.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
v,0,2.2619,,,,,,,,1.1619,space,1.1102,0,6,6,0,1,1.1,images/target_cross.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
c,1,2.208,,,,,,,,0.908,space,1.091,0,7,7,3,1,1.3,images/target_cross.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
c,1,2.0845,,,,,,,,0.5845,space,0.2327,0,8,8,6,1,1.5,images/target_cross.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,,,,,
b,1,4.4016,,,,,,,,2.9016,,,,,,,,1.5,images/target_plus.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,space,4.116,0.048177083,-0.256510417,0,0,0,0,0,0,4,1
c,0,2.4871,,,,,,,,1.1871,,,,,,,,1.3,images/target_square.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,1,1,8,1
c,1,4.0137,,,,,,,,2.9137,,,,,,,,1.1,images/target_cross.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,2,2,0,1
v,1,3.0718,,,,,,,,1.9718,,,,,,,,1.1,images/target_square.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,3,3,5,1
b,1,2.8853,,,,,,,,1.5853,,,,,,,,1.3,images/target_plus.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,4,4,1,1
b,1,1.949,,,,,,,,0.849,,,,,,,,1.1,images/target_plus.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,5,5,7,1
c,1,2.4931,,,,,,,,1.1931,,,,,,,,1.3,images/target_cross.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,6,6,3,1
c,1,2.4063,,,,,,,,0.9063,,,,,,,,1.5,images/target_cross.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,7,7,6,1
v,1,2.6875,,,,,,,,1.1875,,,,,,,,1.5,images/target_square.jpg,000 ,001,2023-04-26_17h31.31.943,choiceRTT,2021.2.3,Win32,59.53089654,,,,,,,,0,8,8,2,1
