keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.2375,-0.2575,1,0,0,2.733,cross_button,1,1.433,space,2.199,0,0,0,3,1,1.3,images/target_cross.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,0.055,-0.27875,1,0,0,2.424,square_button,1,1.124,space,3.407,0,1,1,8,1,1.3,images/target_square.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,0.01875,-0.26,1,0,0,2.073,square_button,1,0.973,space,2.242,0,2,2,5,1,1.1,images/target_square.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,-0.295,-0.27375,1,0,0,3.97,cross_button,0,2.47,space,5.685,0,3,3,4,1,1.5,images/target_plus.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,-0.245,-0.1975,1,0,0,2.741,cross_button,1,1.241,space,1.661,0,4,4,6,1,1.5,images/target_cross.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,-0.2475,-0.235,1,0,0,1.859,cross_button,1,0.759,space,1.56,0,5,5,0,1,1.1,images/target_cross.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,-0.02,-0.265,1,0,0,2.458,square_button,1,0.958,space,3.638,0,6,6,2,1,1.5,images/target_square.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,0.2475,-0.22875,1,0,0,1.977,plus_button,1,0.877,space,1.561,0,7,7,7,1,1.1,images/target_plus.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,0.24125,-0.27875,1,0,0,1.992,plus_button,1,0.692,space,4.493,0,8,8,1,1,1.3,images/target_plus.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,
,0,-0.0075,-0.26375,1,0,0,2.315,square_button,1,1.015,,,,,,,,1.3,images/target_square.jpg,000,001,2023-04-26_22h13.52,choiceRTT,2021.2.3,MacIntel,60.16847172,,0.0125,-0.23625,1,0,0,0,0,0,8,1
