keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.181371053,-0.260009969,1,0,0,4.3177,plus_button,1,3.0177,space,9.3282,0,0,0,1,1,1.3,images/target_plus.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,-0.012999064,-0.255329861,1,0,0,2.6556,square_button,1,1.1556,space,3.2302,0,1,1,2,1,1.5,images/target_square.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,-0.012999064,-0.255329861,1,0,0,1.662,square_button,1,0.562,,,0,2,2,5,1,1.1,images/target_square.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,-0.195254584,-0.262937215,1,0,0,2.1525,cross_button,1,1.0525,space,3.7526,0,3,3,0,1,1.1,images/target_cross.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,-0.258347711,-0.232873942,1,0,0,4.3451,cross_button,1,2.8451,,,0,4,4,6,1,1.5,images/target_cross.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,-0.233054911,-0.26834181,1,0,0,2.4339,cross_button,1,1.1339,space,2.986,0,5,5,3,1,1.3,images/target_cross.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,0.24970459,-0.276713664,1,0,0,2.7444,plus_button,1,1.2444,,,0,6,6,4,1,1.5,images/target_plus.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,0,0.242639906,-0.241514282,1,0,0,4.0715,plus_button,1,2.9715,space,14.5993,0,7,7,7,1,1.1,images/target_plus.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
v,1,,,,,,,,,1.7128,space,3.1749,0,8,8,8,1,1.3,images/target_square.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,3.0128,,,,,,,,,,,
v,1,,,,,,,,,1.3014,,,,,,,,1.5,images/target_square.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,2.8014,,0.069089016,-0.241585558,1,0,0,0,0,0,2,1
b,1,,,,,,,,,2.9151,,,,,,,,1.1,images/target_plus.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,4.0151,,,,,,,0,1,1,7,1
v,1,,,,,,,,,2.2795,,,,,,,,1.3,images/target_square.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,3.5795,,,,,,,0,2,2,8,1
v,1,,,,,,,,,0.9219,,,,,,,,1.1,images/target_square.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,2.0219,,,,,,,0,3,3,5,1
b,1,,,,,,,,,1.2736,,,,,,,,1.5,images/target_plus.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,2.7736,,,,,,,0,4,4,4,1
c,1,,,,,,,,,0.7422,,,,,,,,1.3,images/target_cross.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,2.0422,,,,,,,0,5,5,3,1
c,1,,,,,,,,,0.6893,,,,,,,,1.5,images/target_cross.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,2.1893,,,,,,,0,6,6,6,1
b,1,,,,,,,,,0.7105,,,,,,,,1.3,images/target_plus.jpg,000,001,2023-05-01_13h32.21.302,choiceRTT,2021.2.3,MacIntel,59.99880002,2.0105,,,,,,,0,7,7,1,1
