keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,4.5256,,,,,,,,3.0256,space,7.5415,0,0,0,4,1,1.5,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
c,1,4.5059,,,,,,,,3.0059,,,0,1,1,6,1,1.5,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
,0,,0.43359375,-0.046875,1,0,0,5.566,cross_button,4.066,,,0,2,2,2,1,1.5,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,0,,,,,,,,,,,
c,1,3.669,,,,,,,,2.569,space,6.9439,0,3,3,0,1,1.1,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
c,0,3.38,,,,,,,,2.28,,,0,4,4,7,1,1.1,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
c,1,2.3559,,,,,,,,1.0559,,,0,5,5,3,1,1.3,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
v,1,3.2761,,,,,,,,2.1761,,,0,6,6,5,1,1.1,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
b,1,2.0796,,,,,,,,0.7796,,,0,7,7,1,1,1.3,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
v,1,3.2051,,,,,,,,1.9051,,,0,8,8,8,1,1.3,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,,,,,
b,1,3.8945,,,,,,,,2.3945,,,,,,,,1.5,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,0.00390625,-0.251302083,1,0,0,0,0,0,4,1
v,1,3.1692,,,,,,,,1.8692,,,,,,,,1.3,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,1,1,8,1
b,1,2.3598,,,,,,,,1.0598,,,,,,,,1.3,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,2,2,1,1
c,1,2.2561,,,,,,,,0.7561,,,,,,,,1.5,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,3,3,6,1
c,1,1.8943,,,,,,,,0.7943,,,,,,,,1.1,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,4,4,0,1
b,1,1.984,,,,,,,,0.884,,,,,,,,1.1,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,5,5,7,1
c,1,2.6566,,,,,,,,1.3566,,,,,,,,1.3,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,6,6,3,1
v,1,2.9113,,,,,,,,1.4113,,,,,,,,1.5,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,7,7,2,1
v,1,1.9867,,,,,,,,0.8867,,,,,,,,1.1,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,0,8,8,5,1
c,1,2.3824,,,,,,,,1.2824,,,,,,,,1.1,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,0,9,0,1
v,1,2.246,,,,,,,,0.946,,,,,,,,1.3,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,1,10,8,1
b,1,2.1386,,,,,,,,0.6386,,,,,,,,1.5,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,2,11,4,1
c,1,2.1222,,,,,,,,0.8222,,,,,,,,1.3,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,3,12,3,1
c,1,3.3207,,,,,,,,1.8207,,,,,,,,1.5,images/target_cross.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,4,13,6,1
v,1,2.9467,,,,,,,,1.4467,,,,,,,,1.5,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,5,14,2,1
v,1,2.0447,,,,,,,,0.9447,,,,,,,,1.1,images/target_square.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,6,15,5,1
b,1,2.3395,,,,,,,,1.0395,,,,,,,,1.3,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,7,16,1,1
b,1,1.8273,,,,,,,,0.7273,,,,,,,,1.1,images/target_plus.jpg,000,001,2023-05-03_15h58.01.358,choiceRTT,2021.2.3,Win32,29.82759649,,,,,,,,1,8,17,7,1
