keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,3.291,,,,,,,,2.191,,0,0,0,7,1,1.1,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
v,1,2.409,,,,,,,,1.309,,0,1,1,5,1,1.1,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
v,1,3.057,,,,,,,,1.757,,0,2,2,8,1,1.3,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
c,1,2.608,,,,,,,,1.508,,0,3,3,0,1,1.1,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
c,1,2.093,,,,,,,,0.593,,0,4,4,6,1,1.5,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
c,1,2.276,,,,,,,,0.976,,0,5,5,3,1,1.3,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
b,1,2.061,,,,,,,,0.561,,0,6,6,4,1,1.5,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,
b,1,2.042,,,,,,,,0.742,b,0,7,7,1,1,1.3,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,2.212,,,,,,,,,,,,
v,1,2.307,,,,,,,,0.807,v,0,8,8,2,1,1.5,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,3.333,,,,,,,,,,,,
v,0,0.814,,,,,,,,-0.286,,,,,,,1.1,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,space,6.79,0.076666667,-0.314166667,0,0,0,0,0,0,0,1
b,0,2.476,,,,,,,,1.176,,,,,,,1.3,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,1,1,8,1
c,0,3.195,,,,,,,,1.695,,,,,,,1.5,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,2,2,4,1
c,1,2.89,,,,,,,,1.39,,,,,,,1.5,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,3,3,6,1
v,0,2.247,,,,,,,,1.147,,,,,,,1.1,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,4,4,7,1
v,1,2.558,,,,,,,,1.058,,,,,,,1.5,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,5,5,2,1
b,0,2.46,,,,,,,,1.16,,,,,,,1.3,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,6,6,3,1
v,1,2.18,,,,,,,,1.08,,,,,,,1.1,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,7,7,5,1
b,1,2.914,,,,,,,,1.614,,,,,,,1.3,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,0,8,8,1,1
c,1,2.144,,,,,,,,0.644,,,,,,,1.5,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,1,0,9,6,1
b,1,2.296,,,,,,,,0.996,,,,,,,1.3,images/target_plus.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,1,1,10,1,1
c,1,2.327,,,,,,,,1.027,,,,,,,1.3,images/target_cross.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,1,2,11,3,1
v,1,2.046,,,,,,,,0.746,,,,,,,1.3,images/target_square.jpg,0,001,2023-03-01_15h33.00.994,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,1,3,12,8,1
