response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.360416667,0.021527778,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,0.411805556,-0.031944444,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,-0.197222222,0.009722222,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,0.113888889,-0.007638889,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,0.465277778,-0.003472222,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,-0.110416667,-0.006944444,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,-0.452777778,0.011805556,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,0.063194444,-0.01875,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,,,,,,
,0,-0.125,0.00625,1,0,0,targImage,,,,,,,2.5554,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.133333333,0.003472222,1,0,0,targImage,,,,,,,2.111,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.36875,0.029166667,1,0,0,targImage,,,,,,,2.7776,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.047916667,0.000694444,1,0,0,targImage,,,,,,,1.6666,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.113194444,-0.005555556,1,0,0,targImage,,,,,,,2.3332,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.085416667,-0.005555556,1,0,0,targImage,,,,,,,1.4444,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.291666667,0.002083333,1,0,0,targImage,,,,,,,1,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.378472222,0.034027778,1,0,0,targImage,,,,,,,1.6666,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.393055556,0.00625,1,0,0,targImage,,,,,,,2.7776,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.43125,0.022222222,1,0,0,targImage,,,,,,,2.5554,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.380555556,-0.004861111,1,0,0,targImage,,,,,,,2.3332,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.433333333,0.001388889,1,0,0,targImage,,,,,,,2.9998,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.132638889,-0.011805556,1,0,0,targImage,,,,,,,1.8888,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.142361111,-0.0125,1,0,0,targImage,,,,,,,2.9998,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.372222222,-0.029861111,1,0,0,targImage,,,,,,,2.111,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.314583333,-0.001388889,1,0,0,targImage,,,,,,,1.4444,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.102777778,-0.018055556,1,0,0,targImage,,,,,,,2.7776,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.411805556,-0.023611111,1,0,0,targImage,,,,,,,1.4444,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.406944444,0.020833333,1,0,0,targImage,,,,,,,1.8888,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.354861111,0.030555556,1,0,0,targImage,,,,,,,1,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.135416667,-0.030555556,1,0,0,targImage,,,,,,,1.4444,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.380555556,-0.041666667,1,0,0,targImage,,,,,,,2.9998,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.094444444,-0.022916667,1,0,0,targImage,,,,,,,1.2222,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.111805556,-0.034027778,1,0,0,targImage,,,,,,,2.7776,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.35,-0.044444444,1,0,0,targImage,,,,,,,1.2222,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.047916667,-0.039583333,1,0,0,targImage,,,,,,,1,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.086805556,-0.036805556,1,0,0,targImage,,,,,,,1.8888,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.365277778,-0.04375,1,0,0,targImage,,,,,,,1.6666,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.159722222,-0.025694444,1,0,0,targImage,,,,,,,2.5554,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.409722222,-0.040972222,1,0,0,targImage,,,,,,,2.111,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.127083333,-0.028472222,1,0,0,targImage,,,,,,,2.111,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.15,-0.027083333,1,0,0,targImage,,,,,,,1.2222,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.08125,-0.024305556,1,0,0,targImage,,,,,,,2.9998,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.077083333,-0.025694444,1,0,0,targImage,,,,,,,2.3332,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.31875,-0.027083333,1,0,0,targImage,,,,,,,1.2222,-0.375,c,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.100694444,-0.029166667,1,0,0,targImage,,,,,,,1,0.125,b,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.449305556,-0.031944444,1,0,0,targImage,,,,,,,2.5554,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.405555556,-0.022916667,1,0,0,targImage,,,,,,,1.8888,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.384722222,-0.023611111,1,0,0,targImage,,,,,,,2.3332,0.375,n,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.099305556,-0.027777778,1,0,0,targImage,,,,,,,1.6666,-0.125,v,1 ,001,2021-03-02_11h35.47.041,choiceRTT,3.1.3,60,1,0,40,13,1,39
