keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,ExptLoop.order
b,1,4.6072,,,,,,,,3.5072,space,6.9723,0,0,0,7,1,1.1,images/target_plus.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
b,1,2.3224,,,,,,,,1.0224,space,2.5563,0,1,1,1,1,1.3,images/target_plus.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
c,1,3.5133,,,,,,,,2.2133,space,8.8617,0,2,2,3,1,1.3,images/target_cross.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
c,1,2.0575,,,,,,,,0.9575,space,1.0177,0,3,3,0,1,1.1,images/target_cross.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
b,0,1.8597,,,,,,,,0.7597,space,2.3015,0,4,4,5,1,1.1,images/target_square.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
v,1,2.2372,,,,,,,,0.7372,space,7.4259,0,5,5,2,1,1.5,images/target_square.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
v,1,2.6726,,,,,,,,1.3726,space,0.5812,0,6,6,8,1,1.3,images/target_square.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
b,1,3.1491,,,,,,,,1.6491,space,0.8125,0,7,7,4,1,1.5,images/target_plus.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
c,1,2.5187,,,,,,,,1.0187,space,1.0202,0,8,8,6,1,1.5,images/target_cross.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.5,images/target_plus.jpg,10,001,2023-01-10_16h22.16.831,choiceRTT,2021.2.3,Win32,60.22282445,space,59.9922,-0.888888889,-0.298148176,0,0,0,0,0,0,4,1,17
