keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,4.4676,,,,,,,,2.9676,space,0.924,0,0,0,4,1,1.5,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,1.8313,,,,,,,,0.5313,space,0.6219,0,1,1,8,1,1.3,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,1.9746,,,,,,,,0.6746,space,0.2132,0,2,2,1,1,1.3,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,1.8342,,,,,,,,0.5342,c,0.2168,0,3,3,3,1,1.3,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,0,2.1375,,,,,,,,0.6375,space,0.4181,0,4,4,6,1,1.5,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,1.846,,,,,,,,0.746,space,0.1319,0,5,5,7,1,1.1,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.1077,,,,,,,,0.6077,space,0.1207,0,6,6,2,1,1.5,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,0,1.9901,,,,,,,,0.8901,space,0.3714,0,7,7,0,1,1.1,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,1.7059,,,,,,,,0.6059,space,0.0735,0,8,8,5,1,1.1,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.1467,,,,,,,,0.8467,,,,,,,,1.3,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,space,0.9691,0.522799479,0.273967014,0,0,0,0,0,0,1,1
c,1,1.9062,,,,,,,,0.8062,,,,,,,,1.1,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,1,1,0,1
b,1,2.2373,,,,,,,,0.7373,,,,,,,,1.5,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,2,2,4,1
v,1,1.7403,,,,,,,,0.6403,,,,,,,,1.1,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,3,3,5,1
v,1,2.0739,,,,,,,,0.5739,,,,,,,,1.5,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,4,4,2,1
b,1,2.0558,,,,,,,,0.9558,,,,,,,,1.1,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,5,5,7,1
c,1,2.2209,,,,,,,,0.7209,,,,,,,,1.5,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,6,6,6,1
c,1,1.7608,,,,,,,,0.4608,,,,,,,,1.3,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,7,7,3,1
v,1,1.8087,,,,,,,,0.5087,,,,,,,,1.3,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,8,8,8,1
c,0,1.8424,,,,,,,,0.7424,,,,,,,,1.1,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,0,9,7,1
c,0,1.9471,,,,,,,,0.6471,,,,,,,,1.3,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,1,10,1,1
b,1,2.0875,,,,,,,,0.5875,,,,,,,,1.5,images/target_plus.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,2,11,4,1
v,1,2.0448,,,,,,,,0.5448,,,,,,,,1.5,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,3,12,2,1
c,1,2.0814,,,,,,,,0.7814,,,,,,,,1.3,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,4,13,3,1
c,1,2.4705,,,,,,,,0.9705,,,,,,,,1.5,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,5,14,6,1
c,1,1.7642,,,,,,,,0.6642,,,,,,,,1.1,images/target_cross.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,6,15,0,1
v,1,1.645,,,,,,,,0.545,,,,,,,,1.1,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,7,16,5,1
v,1,1.7894,,,,,,,,0.4894,,,,,,,,1.3,images/target_square.jpg,111,001,2023-05-04_20h47.04.804,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,8,17,8,1
