response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.427083333,0.046875,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,0.447916667,0.01171875,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,0.106770833,0.026041667,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,0.106770833,0.026041667,0,0,1,targImage,1,0,8,6,1,7,1,0.125,b,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,-0.376302083,-0.044270833,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,-0.188802083,-0.028645833,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,-0.1328125,-0.013020833,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,0.36328125,-0.014322917,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,,,,,,
,0,0.44140625,-0.0859375,1,0,0,targImage,,,,,,,2.3332,0.375,n,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,27,1,39
,0,-0.321614583,-0.01171875,1,0,0,targImage,,,,,,,1.2222,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,4,1,39
,0,0.455729167,0.049479167,1,0,0,targImage,,,,,,,1.6666,0.375,n,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,15,1,39
,0,-0.096354167,-0.001302083,1,0,0,targImage,,,,,,,2.111,-0.125,v,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,21,1,39
,0,-0.32421875,0.020833333,1,0,0,targImage,,,,,,,2.3332,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,24,1,39
,0,-0.309895833,0.01171875,1,0,0,targImage,,,,,,,2.7776,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,32,1,39
,0,-0.381510417,-0.018229167,1,0,0,targImage,,,,,,,2.5554,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,28,1,39
,0,0.354166667,0.055989583,1,0,0,targImage,,,,,,,1,0.375,n,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,3,1,39
,0,-0.311197917,0.02734375,1,0,0,targImage,,,,,,,2.111,-0.375,c,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,20,1,39
,0,0.333333333,0.069010417,1,0,0,targImage,,,,,,,2.9998,0.375,n,1,001,2019-03-29_12h36.18.794,choiceRTT,3.0.3,60,1,0,40,39,1,39
