keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,4.493325,,,,,,,,3.193325,space,3.510695,0,0,0,3,1,1.3,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
v,1,4.6212,,,,,,,,3.3212,space,6.64481,0,1,1,8,1,1.3,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
c,0,1.65701,,,,,,,,0.55701,space,1.82729,0,2,2,7,1,1.1,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
v,0,2.020355,,,,,,,,0.520355,space,4.544235,0,3,3,4,1,1.5,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
b,1,1.94757,,,,,,,,0.64757,space,2.62854,0,4,4,1,1,1.3,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
c,1,2.223045,,,,,,,,0.723045,space,4.278615,0,5,5,6,1,1.5,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
b,0,1.688765,,,,,,,,0.588765,space,4.243125,0,6,6,0,1,1.1,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
b,0,2.02156,,,,,,,,0.52156,space,4.410955,0,7,7,2,1,1.5,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
v,1,1.773985,,,,,,,,0.673985,space,2.284665,0,8,8,5,1,1.1,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,,,,,
v,1,2.13324,,,,,,,,0.83324,,,,,,,,1.3,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,0.018125,-0.258125,1,0,0,0,0,0,8,1
c,0,2.221805,,,,,,,,0.721805,,,,,,,,1.5,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,1,1,4,1
b,0,1.959465,,,,,,,,0.859465,,,,,,,,1.1,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,2,2,0,1
b,1,2.80824,,,,,,,,1.50824,,,,,,,,1.3,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,3,3,1,1
c,1,2.10466,,,,,,,,0.60466,,,,,,,,1.5,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,4,4,6,1
b,1,1.99223,,,,,,,,0.89223,,,,,,,,1.1,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,5,5,7,1
v,1,2.222565,,,,,,,,0.722565,,,,,,,,1.5,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,6,6,2,1
c,1,3.743135,,,,,,,,2.443135,,,,,,,,1.3,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,7,7,3,1
v,1,1.97699,,,,,,,,0.87699,,,,,,,,1.1,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,0,8,8,5,1
b,0,1.96072,,,,,,,,0.66072,,,,,,,,1.3,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,0,9,3,1
v,1,2.243395,,,,,,,,0.743395,,,,,,,,1.5,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,1,10,2,1
v,1,2.069775,,,,,,,,0.769775,,,,,,,,1.3,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,2,11,8,1
v,1,1.606775,,,,,,,,0.506775,,,,,,,,1.1,images/target_square.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,3,12,5,1
c,0,1.728585,,,,,,,,0.428585,,,,,,,,1.3,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,4,13,1,1
c,1,2.17457,,,,,,,,0.67457,,,,,,,,1.5,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,5,14,6,1
c,1,1.75608,,,,,,,,0.65608,,,,,,,,1.1,images/target_cross.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,6,15,0,1
b,1,2.05312,,,,,,,,0.95312,,,,,,,,1.1,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,7,16,7,1
b,1,2.02418,,,,,,,,0.52418,,,,,,,,1.5,images/target_plus.jpg,1,001,2022-08-23_19h14.19.749,choiceRTT,2021.2.3,Win32,60.11060351,,,,,,,1,8,17,4,1
