participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,0,3.899,,,,,,,,,2.799,space,13.2935,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,3.7019,,,,,,,,,2.2019,space,3.6872,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,2.5834,,,,,,,,,1.4834,space,1.9674,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,0,2.2579,,,,,,,,,0.9579,space,3.5104,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,2.5832,,,,,,,,,1.0832,space,5.3461,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,2.165,,,,,,,,,0.865,space,0.8124,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,b,1,2.4642,,,,,,,,,0.9642,space,0.6927,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,1.8284,,,,,,,,,0.7284,space,0.6275,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,1.9959,,,,,,,,,0.6959,space,0.7766,,0,8,8,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,,,,,,,,,,,,,,,,,,,,,,,space,10.9061,,0.402777778,0.135185185,0,0,0,,,,,
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,b,1,3.4376,,,,,,,,,2.3376,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,0,0,7,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,2.3149,,,,,,,,,0.8149,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,1,1,6,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,1.9994,,,,,,,,,0.4994,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,2,2,2,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,2.3054,,,,,,,,,1.2054,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,3,3,0,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,1.9625,,,,,,,,,0.6625,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,4,4,3,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,1.7925,,,,,,,,,0.6925,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,5,5,5,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,b,1,2.1229,,,,,,,,,0.8229,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,6,6,1,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,b,1,2.546,,,,,,,,,1.046,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,7,7,4,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,2.0508,,,,,,,,,0.7508,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,8,8,8,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,0,2.0889,,,,,,,,,0.7889,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,0,9,1,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,1.8429,,,,,,,,,0.7429,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,1,10,5,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,2.0411,,,,,,,,,0.7411,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,2,11,3,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,2.0893,,,,,,,,,0.7893,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,3,12,8,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,v,1,2.3064,,,,,,,,,0.8064,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,4,13,2,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,1.9897,,,,,,,,,0.8897,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,5,14,0,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,b,1,2.773,,,,,,,,,1.273,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,6,15,4,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,c,1,2.2915,,,,,,,,,0.7915,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,7,16,6,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,b,1,2.0143,,,,,,,,,0.9143,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,8,17,7,1
1,001,2023-11-02_11h42.45.928,choiceRTT,2023.1.3,Win32,60.40836052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
