participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,0,2.1705,,,,,,,,,0.8705,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,2.4649,,,,,,,,,0.9649,space,0,1,1,4,1,1.5,images/target_plus.jpg,1.9168,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,2.0001,,,,,,,,,0.7001,space,0,2,2,1,1,1.3,images/target_plus.jpg,1.0166,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,1.6373,,,,,,,,,0.5373,space,0,3,3,7,1,1.1,images/target_plus.jpg,0.6986,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,2.1049,,,,,,,,,0.6049,space,0,4,4,2,1,1.5,images/target_square.jpg,0.8336,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,2.1331,,,,,,,,,0.6331,space,0,5,5,6,1,1.5,images/target_cross.jpg,0.7597,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,1.9637,,,,,,,,,0.6637,space,0,6,6,8,1,1.3,images/target_square.jpg,0.5478,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,1.6685,,,,,,,,,0.5685,space,0,7,7,5,1,1.1,images/target_square.jpg,0.4338,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,1.6957,,,,,,,,,0.5957,space,0,8,8,0,1,1.1,images/target_cross.jpg,0.497,,,,,,,,,,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,space,1.9857,,0.221296296,0.131481481,0,0,0,,,,,
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,2.2223,,,,,,,,,0.7223,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,0,0,0,2,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,1.7727,,,,,,,,,0.4727,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,0,1,1,8,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,1.5394,,,,,,,,,0.4394,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,0,2,2,5,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,1.8134,,,,,,,,,0.5134,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,0,3,3,3,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,1.5472,,,,,,,,,0.4472,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,0,4,4,7,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,1.6934,,,,,,,,,0.3934,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,0,5,5,1,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,1.9136,,,,,,,,,0.4136,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,0,6,6,4,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,1.9945,,,,,,,,,0.4945,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,0,7,7,6,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,1.6748,,,,,,,,,0.5748,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,,,0,8,8,0,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,1.927,,,,,,,,,0.427,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,1,0,9,6,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,1.9766,,,,,,,,,0.6766,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,1,1,10,8,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,0,1.6561,,,,,,,,,0.5561,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,,,1,2,11,0,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,c,1,2.0888,,,,,,,,,0.7888,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,1,3,12,3,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,2.0053,,,,,,,,,0.7053,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,1,4,13,1,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,1.6052,,,,,,,,,0.5052,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,1,5,14,7,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,2.094,,,,,,,,,0.594,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,1,6,15,2,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,v,1,1.6112,,,,,,,,,0.5112,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,1,7,16,5,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,b,1,1.976,,,,,,,,,0.476,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,1,8,17,4,1
1,001,2023-11-09_11h27.30.837,choiceRTT,2023.1.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
