participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,v,1,3.254,,,,,,,,,2.154,space,15.06,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,1,1.72,,,,,,,,,0.62,space,2.918,,0,1,1,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,v,1,2.137,,,,,,,,,0.837,space,4.319,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,0,2.239,,,,,,,,,0.739,space,2.02,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,2.344,,,,,,,,,1.044,space,1.421,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,1,2.296,,,,,,,,,0.796,space,0.87,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,2.309,,,,,,,,,1.209,space,1.202,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,1,2.023,,,,,,,,,0.723,space,0.835,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,2.259,,,,,,,,,0.759,space,8.681,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,0.043518519,-0.252777778,1,0,0,,,,,
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,0,2.338,,,,,,,,,0.838,,,,,,,,,1.5,images/target_square.jpg,,,,,,,0,0,0,2,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,1,1.974,,,,,,,,,0.674,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,1,1,1,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,2.32,,,,,,,,,0.82,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,2,2,6,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,1,1.747,,,,,,,,,0.647,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,3,3,7,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,1,2.44,,,,,,,,,0.94,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,4,4,4,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,v,1,1.873,,,,,,,,,0.773,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,5,5,5,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,2.024,,,,,,,,,0.724,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,6,6,3,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,2.405,,,,,,,,,1.305,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,7,7,0,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,b,0,2.307,,,,,,,,,1.007,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,8,8,8,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,0,1.024,,,,,,,,,-0.276,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,0,9,1,1
1,001,2023-11-22_16h29.47.387,choiceRTT,2023.1.3,Linux x86_64,58.82352941,c,1,0.458,,,,,,,,,-0.642,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,1,10,0,1
