participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,c,0,2.3162,,,,,,,,,1.0162,space,0.5818,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,c,1,1.607,,,,,,,,,0.507,space,0.8016,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,c,1,1.9621,,,,,,,,,0.4621,space,0.7004,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,b,0,1.4625,,,,,,,,,0.3625,space,0.5911,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,v,0,2.0201,,,,,,,,,0.5201,space,0.6598,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,b,0,1.8794,,,,,,,,,0.3794,space,0.6813,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,c,0,1.8123,,,,,,,,,0.5123,space,0.4167,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,c,0,1.6554,,,,,,,,,0.5554,space,0.9701,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,b,0,0.8024,,,,,,,,,-0.4976,space,1.1654,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,
1,001,2023-11-27_14h04.32.491,choiceRTT,2023.1.3,Win32,60.37189085,,,,,,,,,,,,,,,,,,,,,,,space,1.0701,,-0.123148148,-0.242592593,0,0,0
