participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,-0.216666667,-0.265740741,1,0,0,4.2335,cross_button,0,3.1335,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,-0.022222222,-0.236111111,1,0,0,2.33479,square_button,1,1.23479,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,0.438888889,0.362037037,1,0,0,241.82461,square_button,0,240.32461,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,-0.264189886,-0.244066047,1,0,0,2.41657,cross_button,1,1.31657,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,0,-0.266769866,1,0,0,2.11825,square_button,1,0.81825,,0,4,4,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,0.243550052,-0.223426213,1,0,0,2.168325,plus_button,1,0.868325,,0,5,5,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,-0.28379773,-0.201754386,1,0,0,2.385275,cross_button,1,1.085275,,0,6,6,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,-0.232198142,-0.237874097,1,0,0,2.718835,cross_button,1,1.218835,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
1,001,2023-12-13_11h13.52.348,choiceRTT,2023.1.3,Win32,59.95203837,,0,0.059855521,-0.25128999,1,0,0,2.46864,square_button,1,0.96864,,0,8,8,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
