participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,c,0,2.484,,,,,,,,,0.984,,0,0,0,4,1,1.5,images/target_plus.jpg,,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,2.508,,,,,,,,,1.408,space,0,1,1,5,1,1.1,images/target_square.jpg,1.075,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,c,1,2.449,,,,,,,,,1.349,space,0,2,2,0,1,1.1,images/target_cross.jpg,1.485,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,2.343,,,,,,,,,1.043,space,0,3,3,8,1,1.3,images/target_square.jpg,0.931,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,c,1,2.08,,,,,,,,,0.78,space,0,4,4,3,1,1.3,images/target_cross.jpg,0.961,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,2.404,,,,,,,,,0.904,space,0,5,5,2,1,1.5,images/target_square.jpg,0.962,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,c,0,2.001,,,,,,,,,0.701,space,0,6,6,1,1,1.3,images/target_plus.jpg,1.161,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,b,1,1.851,,,,,,,,,0.751,space,0,7,7,7,1,1.1,images/target_plus.jpg,0.887,
1,001,2024-01-18_18h08.17.313,choiceRTT,2023.1.3,MacIntel,30.3030303,b,0,2.951,,,,,,,,,1.451,space,0,8,8,6,1,1.5,images/target_cross.jpg,1.249,
