participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,6.2387,,,,,,,,,4.9387,space,2.4868,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,9.5301,,,,,,,,,8.0301,space,1.933,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,3.4006,,,,,,,,,2.1006,space,1.3318,,0,2,2,3,1,1.3,images/target_cross.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,2.7233,,,,,,,,,1.6233,c,1.7577,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,1.9547,,,,,,,,,0.8547,space,0.2497,,0,4,4,0,1,1.1,images/target_cross.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.5477,,,,,,,,,1.0477,space,1.0845,,0,5,5,6,1,1.5,images/target_cross.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,v,0,3.7173,,,,,,,,,2.2173,space,1.4992,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,3.0533,,,,,,,,,1.7533,space,1.0351,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,2.0684,,,,,,,,,0.9684,space,1.9661,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,
1,001,2024-02-05_19h49.13.773,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,0.01987381,-0.237497287,1,0,0
