participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.7732,,,,,,,,,1.2732,,0,0,0,2,1,1.5,images/target_square.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.1087,,,,,,,,,1.0087,,0,1,1,7,1,1.1,images/target_plus.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.1313,,,,,,,,,0.8313,,0,2,2,8,1,1.3,images/target_square.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,c,0,1.8084,,,,,,,,,0.7084,,0,3,3,5,1,1.1,images/target_square.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.2612,,,,,,,,,0.7612,,0,4,4,4,1,1.5,images/target_plus.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.0319,,,,,,,,,0.7319,,0,5,5,1,1,1.3,images/target_plus.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,v,0,1.8768,,,,,,,,,0.7768,,0,6,6,0,1,1.1,images/target_cross.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.1753,,,,,,,,,0.8753,,0,7,7,3,1,1.3,images/target_cross.jpg
1,001,2024-02-12_09h35.36.703,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.175,,,,,,,,,0.675,,0,8,8,6,1,1.5,images/target_cross.jpg
