participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,c,0,2.53,,,,,,,,,1.03,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,c,1,3.045,,,,,,,,,1.945,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,b,1,2.933,,,,,,,,,1.433,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,b,1,1.939,,,,,,,,,0.639,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,b,0,2.043,,,,,,,,,0.743,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,c,1,1.963,,,,,,,,,0.463,,0,5,5,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,v,1,1.676,,,,,,,,,0.576,,0,6,6,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,v,1,1.78,,,,,,,,,0.48,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,b,1,1.711,,,,,,,,,0.611,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,0.010416667,-0.261574074,1,0,0,,,,,
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,b,1,1.822,,,,,,,,,0.522,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,0,0,1,1
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,b,0,1.646,,,,,,,,,0.546,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,1,1,0,1
64db888849e5590edaac22a1,001,2023-10-31_23h29.24.642,choiceRTT,2023.1.3,Win32,60.0240096,v,1,1.579,,,,,,,,,0.479,,,,,,,1.1,images/target_square.jpg,,,,,,,0,2,2,5,1
