response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.1328125,0.0234375,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,,,,,,,
v,0,-0.118489583,-0.01171875,0,0,0,,1,0,8,4,1,7,1,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,5.394000053,,,,,,
v,1,-0.098958333,-0.002604167,0,0,0,,1,0,8,1,1,7,1,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.01699996,,,,,,
b,1,-0.079427083,0.002604167,0,0,0,,1,0,8,6,1,7,1,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.355999947,,,,,,
n,0,-0.079427083,0.002604167,0,0,0,,1,0,8,0,1,7,1,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.951999903,,,,,,
b,1,-0.079427083,0.002604167,0,0,0,,1,0,8,2,1,7,1,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.661000013,,,,,,
v,0,-0.079427083,0.002604167,0,0,0,,1,0,8,3,1,7,1,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.392999887,,,,,,
n,1,-0.079427083,0.002604167,0,0,0,,1,0,8,7,1,7,1,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.345999956,,,,,,
b,1,-0.07421875,-0.0546875,0,0,0,,,,,,,,1.4444,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,2.498000145,1,0,40,10,1,39
b,0,-0.07421875,-0.0546875,0,0,0,,,,,,,,2.7776,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.337000132,1,0,40,32,1,39
b,0,-0.0703125,-0.0546875,0,0,0,,,,,,,,2.5554,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.330000162,1,0,40,31,1,39
n,1,-0.067708333,-0.0546875,0,0,0,,,,,,,,2.3332,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.045000076,1,0,40,27,1,39
