response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.112962963,0.032407407,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,-0.118518519,-0.021296296,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,-0.381481481,-0.013888889,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,-0.148148148,-0.043518519,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,0.147222222,-0.006481481,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,0.374074074,-0.00462963,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,-0.338888889,-0.006481481,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,0.361111111,-0.007407407,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,,,,,,
,0,-0.353703704,-0.023148148,1,0,0,targImage,,,,,,,2.3332,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.35462963,0,1,0,0,targImage,,,,,,,2.111,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.318518519,-0.033333333,1,0,0,targImage,,,,,,,2.5554,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.35,0.000925926,1,0,0,targImage,,,,,,,1,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.119444444,0.000925926,1,0,0,targImage,,,,,,,1.4444,0.125,b,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.112037037,0.001851852,1,0,0,targImage,,,,,,,2.5554,0.125,b,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.35,-0.000925926,1,0,0,targImage,,,,,,,1.6666,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.116666667,-0.007407407,1,0,0,targImage,,,,,,,1.2222,-0.125,v,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.125,0.008333333,1,0,0,targImage,,,,,,,1.2222,0.125,b,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.378703704,0.032407407,1,0,0,targImage,,,,,,,1.8888,0.375,n,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.117592593,0.030555556,1,0,0,targImage,,,,,,,2.111,0.125,b,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.351851852,-0.037037037,1,0,0,targImage,,,,,,,1.8888,-0.375,c,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.080555556,-0.022222222,1,0,0,targImage,,,,,,,2.111,-0.125,v,AZ,001,2021-02-02_12h15.37.247,choiceRTT,3.1.3,60,1,0,40,21,1,39
