participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,-0.215555556,-0.253333333,1,0,0,3.0065,cross_button,1,1.9065,space,12.6657,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,-0.04,-0.23,1,0,0,2.2384,square_button,1,0.9384,space,3.1108,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,0.275555556,-0.251111111,1,0,0,2.5362,plus_button,1,1.4362,space,4.6804,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,0.326666667,-0.236666667,1,0,0,2.7601,plus_button,1,1.4601,space,2.3278,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,-0.215555556,-0.216666667,1,0,0,2.5817,cross_button,1,1.2817,space,1.3975,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,-0.065555556,-0.243333333,1,0,0,2.4509,square_button,1,1.3509,space,3.1234,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,-0.011111111,-0.234444444,1,0,0,2.5158,square_button,1,1.0158,space,1.1768,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,-0.237777778,-0.225555556,1,0,0,3.0855,cross_button,1,1.5855,space,3.048,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
A,001,2023-12-06_12h23.52.050,choiceRTT,2023.1.3,Win32,60.18657839,,0,0.264444444,-0.237777778,1,0,0,2.7385,plus_button,1,1.2385,space,2.8801,,0,8,8,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
