participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,3.9748,,,,,,,,,2.4748,space,18.1633,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.7992,,,,,,,,,1.2992,space,4.4929,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,0,2.0929,,,,,,,,,0.5929,space,1.5969,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.9404,,,,,,,,,0.8404,space,0.5005,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,0,1.7808,,,,,,,,,0.6808,space,0.3174,,0,4,4,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.176,,,,,,,,,0.876,space,0.35,,0,5,5,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,1.8468,,,,,,,,,0.5468,space,0.3507,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,0,1.9568,,,,,,,,,0.8568,space,0.4931,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.216,,,,,,,,,0.916,space,0.2976,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,space,4.2426,,-0.091666667,-0.176851852,0,0,0,,,,,
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.2333,,,,,,,,,1.1333,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,0,0,0,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.6605,,,,,,,,,1.1605,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,1,1,4,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.4207,,,,,,,,,1.1207,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,2,2,1,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.5238,,,,,,,,,1.0238,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,3,3,6,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.2235,,,,,,,,,0.9235,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,4,4,3,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.1402,,,,,,,,,0.6402,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,5,5,2,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.6607,,,,,,,,,1.5607,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,6,6,7,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.6312,,,,,,,,,1.5312,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,7,7,5,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.1814,,,,,,,,,0.8814,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,8,8,8,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.7952,,,,,,,,,1.2952,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,0,9,4,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,0,2.3944,,,,,,,,,1.0944,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,1,10,8,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.7262,,,,,,,,,1.4262,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,2,11,1,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.192,,,,,,,,,1.092,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,3,12,7,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.9826,,,,,,,,,0.6826,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,4,13,3,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.3903,,,,,,,,,0.8903,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,5,14,6,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.6398,,,,,,,,,0.5398,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,6,15,5,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.8931,,,,,,,,,0.7931,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,7,16,0,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.2734,,,,,,,,,0.7734,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,8,17,2,1
A,001,2023-12-13_09h50.57.529,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
