response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.1015625,0.022135417,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,-0.111979167,-0.013020833,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,0.350260417,-0.041666667,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,-0.337239583,0.010416667,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,0.162760417,0.014322917,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,0.126302083,0.014322917,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,-0.368489583,0.013020833,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,0.450520833,0.006510417,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,,,,,,
,0,0.127604167,-0.024739583,1,0,0,targImage,,,,,,,2.5554,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.38671875,0.006510417,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.09765625,0.014322917,1,0,0,targImage,,,,,,,1,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.369791667,-0.001302083,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.153645833,-0.024739583,1,0,0,targImage,,,,,,,1.4444,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.364583333,-0.03515625,1,0,0,targImage,,,,,,,1,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.161458333,-0.084635417,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.15234375,-0.0390625,1,0,0,targImage,,,,,,,1.2222,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.3828125,0.026041667,1,0,0,targImage,,,,,,,2.3332,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.35546875,-0.02734375,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.356770833,-0.00390625,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.3125,-0.024739583,1,0,0,targImage,,,,,,,2.5554,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.09765625,-0.05859375,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.389322917,-0.028645833,1,0,0,targImage,,,,,,,2.111,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.36328125,-0.01171875,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.1328125,-0.01953125,1,0,0,targImage,,,,,,,1.6666,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.287760417,-0.024739583,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.153645833,-0.016927083,1,0,0,targImage,,,,,,,2.111,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.091145833,-0.037760417,1,0,0,targImage,,,,,,,1,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.341145833,0.001302083,1,0,0,targImage,,,,,,,1.4444,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.143229167,-0.048177083,1,0,0,targImage,,,,,,,2.3332,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.330729167,-0.040364583,1,0,0,targImage,,,,,,,2.9998,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.1328125,-0.03515625,1,0,0,targImage,,,,,,,2.7776,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.12109375,-0.084635417,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.09375,-0.087239583,1,0,0,targImage,,,,,,,2.111,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.16015625,-0.053385417,1,0,0,targImage,,,,,,,2.9998,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.298177083,-0.04296875,1,0,0,targImage,,,,,,,2.111,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.139322917,-0.033854167,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.390625,-0.009114583,1,0,0,targImage,,,,,,,1.8888,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.313802083,0.029947917,1,0,0,targImage,,,,,,,1.8888,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.369791667,0.005208333,1,0,0,targImage,,,,,,,2.7776,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.444010417,-0.014322917,1,0,0,targImage,,,,,,,1.6666,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.298177083,-0.036458333,1,0,0,targImage,,,,,,,2.7776,-0.375,c,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.141927083,0.018229167,1,0,0,targImage,,,,,,,2.7776,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.171875,-0.05078125,1,0,0,targImage,,,,,,,1.8888,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.459635417,-0.00390625,1,0,0,targImage,,,,,,,1.2222,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.186197917,-0.0390625,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.12890625,0.001302083,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.38671875,-0.080729167,1,0,0,targImage,,,,,,,1,0.375,n,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.13671875,-0.026041667,1,0,0,targImage,,,,,,,2.3332,0.125,b,Alison,001,2020-11-16_17h09.39.207,choiceRTT,3.1.3,60,1,0,40,26,1,39
