keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,5.649,,,,,,,,4.349,,0,0,0,3,1,1.3,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,,,,,
v,1,3.5557,,,,,,,,2.2557,,0,1,1,8,1,1.3,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,,,,,
b,1,1.9897,,,,,,,,0.8897,,0,2,2,7,1,1.1,images/target_plus.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,,,,,
c,1,2.9866,,,,,,,,1.4866,space,0,3,3,6,1,1.5,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,2.6945,,,,,,,,,,,
b,1,1.9716,,,,,,,,0.6716,,0,4,4,1,1,1.3,images/target_plus.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,,,,,
b,1,2.9812,,,,,,,,1.4812,b,0,5,5,4,1,1.5,images/target_plus.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,1.4223,,,,,,,,,,,
b,0,1.6704,,,,,,,,0.5704,b,0,6,6,0,1,1.1,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,2.2028,,,,,,,,,,,
v,1,2.0142,,,,,,,,0.9142,b,0,7,7,5,1,1.1,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,4.4988,,,,,,,,,,,
c,0,2.5205,,,,,,,,1.0205,b,0,8,8,2,1,1.5,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,1.6059,,,,,,,,,,,
b,0,2.1517,,,,,,,,0.6517,,,,,,,1.5,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,0.04296875,-0.26171875,1,0,0,0,0,0,2,1
b,0,2.2425,,,,,,,,1.1425,,,,,,,1.1,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,1,1,0,1
b,1,2.6609,,,,,,,,1.5609,,,,,,,1.1,images/target_plus.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,2,2,7,1
b,1,2.5893,,,,,,,,1.2893,,,,,,,1.3,images/target_plus.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,3,3,1,1
v,1,2.1554,,,,,,,,1.0554,,,,,,,1.1,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,4,4,5,1
v,1,2.1701,,,,,,,,0.8701,,,,,,,1.3,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,5,5,8,1
c,1,2.2617,,,,,,,,0.9617,,,,,,,1.3,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,6,6,3,1
c,1,2.3766,,,,,,,,0.8766,,,,,,,1.5,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,7,7,6,1
b,1,2.3057,,,,,,,,0.8057,,,,,,,1.5,images/target_plus.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,0,8,8,4,1
v,1,2.1218,,,,,,,,0.8218,,,,,,,1.3,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,1,0,9,8,1
v,1,2.555,,,,,,,,1.055,,,,,,,1.5,images/target_square.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,1,1,10,2,1
b,0,2.6653,,,,,,,,1.3653,,,,,,,1.3,images/target_cross.jpg,Ana,001,2023-04-02_20h47.22.947,choiceRTT,2021.2.3,Win32,59.96641881,,,,,,,,1,2,11,3,1
