keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,3.849,,,,,,,,2.549,space,4.4821,0,0,0,1,1,1.3,images/target_plus.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
c,1,3.1704,,,,,,,,2.0704,space,1.1914,0,1,1,0,1,1.1,images/target_cross.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
b,1,4.0195,,,,,,,,2.5195,space,7.9575,0,2,2,4,1,1.5,images/target_plus.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
c,1,3.1545,,,,,,,,1.8545,space,1.6779,0,3,3,3,1,1.3,images/target_cross.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
c,1,2.0903,,,,,,,,0.5903,space,6.1877,0,4,4,6,1,1.5,images/target_cross.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
v,1,2.6272,,,,,,,,1.5272,space,0.9322,0,5,5,5,1,1.1,images/target_square.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
b,1,3.3438,,,,,,,,2.2438,space,0.4296,0,6,6,7,1,1.1,images/target_plus.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
v,1,2.8489,,,,,,,,1.3489,space,0.101,0,7,7,2,1,1.5,images/target_square.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
v,1,2.6886,,,,,,,,1.3886,space,0.2133,0,8,8,8,1,1.3,images/target_square.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,,,,,,,,,,
c,1,2.6835,,,,,,,,1.3835,,,,,,,,1.3,images/target_cross.jpg,Analucia,001,2023-04-16_21h56.31.146,choiceRTT,2021.2.3,Win32,59.01794145,,0.04296875,-0.229166667,1,0,0,0,0,0,3,1
