keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,4.4719,,,,,,,,2.9719,space,5.0874,0,0,0,4,1,1.5,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
c,0,1.7638,,,,,,,,0.6638,space,2.6256,0,1,1,7,1,1.1,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
c,1,1.7623,,,,,,,,0.4623,space,1.3826,0,2,2,3,1,1.3,images/target_cross.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
b,1,2.5573,,,,,,,,1.2573,space,1.5211,0,3,3,1,1,1.3,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
v,1,2.713,,,,,,,,1.213,space,4.3255,0,4,4,2,1,1.5,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
v,1,2.0817,,,,,,,,0.7817,space,1.8721,0,5,5,8,1,1.3,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
c,1,4.2533,,,,,,,,2.7533,space,1.6606,0,6,6,6,1,1.5,images/target_cross.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
c,1,3.221,,,,,,,,2.121,space,0.7344,0,7,7,0,1,1.1,images/target_cross.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
b,0,1.9907,,,,,,,,0.8907,space,5.6042,0,8,8,5,1,1.1,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,,,,,
c,1,2.4509,,,,,,,,0.9509,,,,,,,,1.5,images/target_cross.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,-0.01171875,-0.235677083,1,0,0,0,0,0,6,1
b,1,1.851,,,,,,,,0.551,,,,,,,,1.3,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,1,1,1,1
c,0,2.7663,,,,,,,,1.6663,,,,,,,,1.1,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,2,2,7,1
v,1,2.1854,,,,,,,,0.8854,,,,,,,,1.3,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,3,3,8,1
b,1,2.4917,,,,,,,,0.9917,,,,,,,,1.5,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,4,4,4,1
c,1,2.0514,,,,,,,,0.7514,,,,,,,,1.3,images/target_cross.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,5,5,3,1
v,1,2.1249,,,,,,,,0.6249,,,,,,,,1.5,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,6,6,2,1
v,1,1.7669,,,,,,,,0.6669,,,,,,,,1.1,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,7,7,5,1
c,1,2.2167,,,,,,,,1.1167,,,,,,,,1.1,images/target_cross.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,0,8,8,0,1
b,1,1.4682,,,,,,,,0.3682,,,,,,,,1.1,images/target_plus.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,1,0,9,7,1
c,0,1.5565,,,,,,,,0.4565,,,,,,,,1.1,images/target_square.jpg,Andrea,001,2023-04-12_20h20.04.189,choiceRTT,2021.2.3,Win32,59.52380952,,,,,,,1,1,10,5,1
