participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,0,2.647,,,,,,,,,1.547,space,13.4444,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.7098,,,,,,,,,1.4098,space,3.5951,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.4699,,,,,,,,,0.9699,space,1.3158,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,0,1.783,,,,,,,,,0.483,space,1.6461,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.9896,,,,,,,,,0.8896,space,3.6709,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.0834,,,,,,,,,0.9834,space,0.9659,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.1115,,,,,,,,,0.8115,space,2.0011,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.3131,,,,,,,,,0.8131,space,2.2466,,0,7,7,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,0,2.2428,,,,,,,,,0.7428,space,1.1459,,0,8,8,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,space,2.9865,,-0.178333321,-0.330833359,0,0,0,,,,,
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.2179,,,,,,,,,0.9179,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,0,0,8,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.2733,,,,,,,,,0.7733,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,1,1,4,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,1.9663,,,,,,,,,0.6663,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,2,2,1,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.3731,,,,,,,,,0.8731,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,3,3,6,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.3179,,,,,,,,,0.8179,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,4,4,2,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.4892,,,,,,,,,1.1892,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,5,5,3,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,1.8372,,,,,,,,,0.7372,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,6,6,7,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.7583,,,,,,,,,0.6583,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,7,7,5,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.0307,,,,,,,,,0.9307,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,8,8,0,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.0383,,,,,,,,,0.7383,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,0,9,3,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.0739,,,,,,,,,0.9739,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,1,10,7,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.8428,,,,,,,,,0.7428,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,2,11,0,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.2282,,,,,,,,,0.7282,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,3,12,2,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,1.9824,,,,,,,,,0.6824,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,4,13,1,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.7648,,,,,,,,,0.6648,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,5,14,5,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.1748,,,,,,,,,0.6748,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,6,15,6,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.3225,,,,,,,,,0.8225,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,7,16,4,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.9973,,,,,,,,,0.6973,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,8,17,8,1
BT,001,2024-02-12_09h42.33.617,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
