keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,2.8623,,,,,,,,1.3623,space,5.7584,0,0,0,4,1,1.5,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
v,0,2.1874,,,,,,,,0.8874,space,2.8572,0,1,1,3,1,1.3,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
c,0,2.5486,,,,,,,,1.2486,space,1.5083,0,2,2,1,1,1.3,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
v,1,3.0632,,,,,,,,1.7632,space,0.9498,0,3,3,8,1,1.3,images/target_square.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
v,1,2.1257,,,,,,,,0.6257,space,1.1147,0,4,4,2,1,1.5,images/target_square.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
c,0,2.0317,,,,,,,,0.9317,space,0.4407,0,5,5,7,1,1.1,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
v,1,1.9735,,,,,,,,0.8735,space,0.8188,0,6,6,5,1,1.1,images/target_square.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
c,1,2.976,,,,,,,,1.876,space,1.1891,0,7,7,0,1,1.1,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
c,1,2.126,,,,,,,,0.626,space,0.9177,0,8,8,6,1,1.5,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,,,,,
v,1,2.2196,,,,,,,,0.9196,,,,,,,,1.3,images/target_square.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,space,3.1005,-0.888888889,0.217592593,0,0,0,0,0,0,8,1
c,1,2.004,,,,,,,,0.704,,,,,,,,1.3,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,1,1,3,1
b,1,2.3605,,,,,,,,1.2605,,,,,,,,1.1,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,2,2,7,1
b,1,2.0906,,,,,,,,0.5906,,,,,,,,1.5,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,3,3,4,1
c,1,1.7637,,,,,,,,0.6637,,,,,,,,1.1,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,4,4,0,1
v,1,2.2871,,,,,,,,0.7871,,,,,,,,1.5,images/target_square.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,5,5,2,1
b,1,2.1363,,,,,,,,0.8363,,,,,,,,1.3,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,6,6,1,1
c,1,2.0448,,,,,,,,0.5448,,,,,,,,1.5,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,7,7,6,1
c,0,1.5364,,,,,,,,0.4364,,,,,,,,1.1,images/target_square.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,0,8,8,5,1
b,1,2.3139,,,,,,,,1.0139,,,,,,,,1.3,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,1,0,9,1,1
c,1,1.6955,,,,,,,,0.5955,,,,,,,,1.1,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,1,1,10,0,1
c,1,2.2624,,,,,,,,0.7624,,,,,,,,1.5,images/target_cross.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,1,2,11,6,1
b,1,1.8235,,,,,,,,0.7235,,,,,,,,1.1,images/target_plus.jpg,CW,001,2023-02-01_09h54.55.144,choiceRTT,2021.2.3,Win32,60.29181237,,,,,,,,1,3,12,7,1
