keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
v,1,4.069,,,,,,,,2.969,space,5.258,0,0,0,5,1,1.1,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,0,4.007,,,,,,,,2.507,space,5.01,0,1,1,4,1,1.5,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,0,2.192,,,,,,,,0.892,space,3.911,0,2,2,1,1,1.3,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
v,1,2.792,,,,,,,,1.492,space,2.874,0,3,3,8,1,1.3,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,1,3.312,,,,,,,,2.212,space,5.458,0,4,4,0,1,1.1,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,0,2.092,,,,,,,,0.992,,,0,5,5,7,1,1.1,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
v,1,2.592,,,,,,,,1.092,space,1.374,0,6,6,2,1,1.5,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,1,4.259,,,,,,,,2.759,space,2.994,0,7,7,6,1,1.5,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,1,2.227,,,,,,,,0.927,space,0.935,0,8,8,3,1,1.3,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,,
c,1,2.434,,,,,,,,0.934,,,,,,,,1.5,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,0.0175,-0.25,1,0,0,0,0,0,6,1,
