response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.343518519,-0.05462963,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,0.374074074,-0.007407407,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,-0.057407407,-0.001851852,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,0.105555556,0.009259259,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,0.107407407,0.009259259,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,-0.296296296,0.006481481,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,-0.298148148,0.003703704,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,-0.131481481,-0.001851852,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,,,,,,
,0,0.088888889,0.00462963,1,0,0,targImage,,,,,,,2.5554,0.125,b,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.349074074,0.010185185,1,0,0,targImage,,,,,,,2.3332,0.375,n,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.336111111,0.013888889,1,0,0,targImage,,,,,,,1,-0.375,c,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.162037037,0.014814815,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.365740741,0.008333333,1,0,0,targImage,,,,,,,2.111,0.375,n,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.343518519,0.009259259,1,0,0,targImage,,,,,,,1.8888,-0.375,c,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.362037037,-0.012962963,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Dan,001,2021-06-01_14h30.04.954,choiceRTT,3.1.3,60,1,0,40,24,1,39
