response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.132581845,-0.024006696,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,0.119873512,-0.024944196,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,-0.443675595,0.025662202,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,-0.344103423,-0.032250744,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,0.293258929,0.03000744,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,0.431648065,0.032689732,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,-0.089508929,0.005279018,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,-0.108701637,0.00561756,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,,,,,,
,0,0.336421131,-0.036901042,1,0,0,targImage,,,,,,,1.4444,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.16453869,-0.006997768,1,0,0,targImage,,,,,,,2.5554,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.355249256,-0.007924107,1,0,0,targImage,,,,,,,2.7776,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.090963542,-0.001421131,1,0,0,targImage,,,,,,,1.4444,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.095104167,-0.001197917,1,0,0,targImage,,,,,,,1.2222,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.049564732,0.011134673,1,0,0,targImage,,,,,,,1,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.312909226,0.004962798,1,0,0,targImage,,,,,,,1.4444,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.094769345,-0.007113095,1,0,0,targImage,,,,,,,1.4444,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.316700149,-0.008299851,1,0,0,targImage,,,,,,,1.8888,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.115126488,-0.009229911,1,0,0,targImage,,,,,,,1.8888,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.318976935,0.001387649,1,0,0,targImage,,,,,,,2.7776,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.078738839,0.005193452,1,0,0,targImage,,,,,,,2.9998,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.338139881,0.000078125,1,0,0,targImage,,,,,,,2.3332,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.378448661,-0.041343006,1,0,0,targImage,,,,,,,1.2222,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.068493304,0.007008929,1,0,0,targImage,,,,,,,2.7776,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.083102679,0.03875744,1,0,0,targImage,,,,,,,1.2222,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.080479911,0.01703125,1,0,0,targImage,,,,,,,1.6666,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.127061012,-0.002310268,1,0,0,targImage,,,,,,,2.7776,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.052310268,-0.002700893,1,0,0,targImage,,,,,,,1,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.048404018,0.013776042,1,0,0,targImage,,,,,,,1.8888,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.316186756,0.004077381,1,0,0,targImage,,,,,,,2.111,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.430234375,0.006581101,1,0,0,targImage,,,,,,,2.3332,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.3075,0.017719494,1,0,0,targImage,,,,,,,1.8888,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.322388393,-0.02124256,1,0,0,targImage,,,,,,,2.5554,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.298511905,0.000863095,1,0,0,targImage,,,,,,,1.2222,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.32015625,0.005907738,1,0,0,targImage,,,,,,,2.111,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.367072173,0.01374256,1,0,0,targImage,,,,,,,2.5554,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.145881696,-0.002872024,1,0,0,targImage,,,,,,,2.111,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.050915179,0.015424107,1,0,0,targImage,,,,,,,2.9998,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.39234003,-0.035212054,1,0,0,targImage,,,,,,,1.6666,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.34171875,0.012671131,1,0,0,targImage,,,,,,,2.9998,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.306636905,0.020956101,1,0,0,targImage,,,,,,,1,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.106462054,-0.004936756,1,0,0,targImage,,,,,,,1.6666,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.334047619,0.013404018,1,0,0,targImage,,,,,,,2.9998,-0.375,c,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.087120536,0.004817708,1,0,0,targImage,,,,,,,2.3332,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.107875744,0.009724702,1,0,0,targImage,,,,,,,2.3332,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.098668155,0.016305804,1,0,0,targImage,,,,,,,2.5554,-0.125,v,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.136179315,-0.016573661,1,0,0,targImage,,,,,,,2.111,0.125,b,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.354765625,0.012209821,1,0,0,targImage,,,,,,,1.6666,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.432991071,0.010584077,1,0,0,targImage,,,,,,,1,0.375,n,David,001,2020-09-10_14h33.48.770,choiceRTT,3.1.3,60,1,0,40,3,1,39
