participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,correctMouseResp,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,c,1,3.7658,,-0.128703718,-0.499074088,1,0,0,2.7679,,2.4658,space,7.6058,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,v,1,2.1965,,,,,,,,,1.0965,space,7.8941,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,b,1,3.3377,,,,,,,,,2.0377,space,6.6856,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,v,0,3.4376,,,,,,,,,1.9376,space,2.7265,,0,3,3,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,c,1,2.8254,,,,,,,,,1.7254,space,3.646,,0,4,4,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,v,1,3.7412,,,,,,,,,2.2412,space,2.0367,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,b,1,3.1564,,,,,,,,,1.6564,space,7.4375,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,b,1,1.8373,,,,,,,,,0.7373,space,3.8642,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,c,0,1.8412,,,,,,,,,0.5412,space,3.205,,0,8,8,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,-0.00462963,-0.281481496,1,0,0,,,,,,
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,,0,,,-0.00462963,-0.281481496,1,0,0,0.8382,square_button,-0.4618,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,0,0,0,3,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,v,1,2.3595,,,,,,,,,1.0595,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,0,1,1,8,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,c,0,2.2305,,,,,,,,,0.9305,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,0,2,2,1,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,b,1,2.0523,,,,,,,,,0.9523,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,0,3,3,7,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,b,1,2.7114,,,,,,,,,1.2114,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,0,4,4,4,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,v,1,3.389,,,,,,,,,2.289,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,0,5,5,5,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,v,1,3.17,,,,,,,,,1.67,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,0,6,6,2,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,c,1,3.0363,,,,,,,,,1.5363,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,0,7,7,6,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,c,1,3.1449,,,,,,,,,2.0449,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,0,8,8,0,1
Davide,001,2023-11-15_11h26.14.796,choiceRTT,2023.1.3,Win32,59.87665409,b,1,3.2176,,,,,,,,,1.7176,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,1,0,9,4,1
