participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,,,,,,,,,,,,,,,,,,,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,0.021428571,-0.247959184,1,0,0,2.659,square_button,0,1.359,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,-0.270408163,-0.266326531,1,0,0,2.308,cross_button,1,1.208,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,-0.010204082,-0.257142857,1,0,0,2.767,square_button,1,1.667,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,0.290816327,-0.229591837,1,0,0,2.236,plus_button,1,1.136,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,0.265306122,-0.212244898,1,0,0,2.634,plus_button,1,1.134,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,-0.263265306,-0.257142857,1,0,0,2.401,cross_button,1,1.101,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,0.260204082,-0.268367347,1,0,0,3.143,plus_button,0,1.643,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,0.030612245,-0.23877551,1,0,0,2.2,square_button,1,0.9,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,0,0.040816327,-0.212244898,1,0,0,3.084,square_button,1,1.584,,0,8,8,2,1,1.5,images/target_square.jpg,,,,,,
Dfg,001,2024-01-31_14h24.26.829,choiceRTT,2023.1.3,iPhone,38.46153846,,,,,,,,,,,,,,,,,,,,,-0.107142857,-0.407142857,1,0,0
