response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.366666667,0.037777778,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,0.143333333,0.026666667,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,-0.355555556,-0.006666667,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,-0.135555556,-0.001111111,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,-0.387777778,0.002222222,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,0.317777778,0.04,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,0.157777778,0.015555556,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,-0.103333333,0.002222222,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,,,,,,
,0,-0.123333333,-0.036666667,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.112222222,0.01,1,0,0,targImage,,,,,,,2.9998,0.125,b,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.112222222,0.01,1,0,0,targImage,,,,,,,2.3332,0.125,b,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.112222222,0.01,1,0,0,targImage,,,,,,,1.8888,0.125,b,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.112222222,0.01,1,0,0,targImage,,,,,,,1.2222,0.125,b,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.362222222,-0.01,1,0,0,targImage,,,,,,,2.111,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.354444444,-0.011111111,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.388888889,-0.004444444,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.122222222,-0.003333333,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.437777778,0.045555556,1,0,0,targImage,,,,,,,1.6666,0.375,n,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.384444444,0.016666667,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.376666667,0.005555556,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.108888889,0.003333333,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.358888889,0.005555556,1,0,0,targImage,,,,,,,1.8888,0.375,n,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.117777778,0.003333333,1,0,0,targImage,,,,,,,1,-0.125,v,Dina,001,2020-08-31_11h01.54.031,choiceRTT,3.1.3,60,1,0,40,1,1,39
