participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,v,1,3.316,,,,,,,,,1.816,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,c,0,2.52,,,,,,,,,1.22,,0,1,1,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,c,1,3.055,,,,,,,,,1.955,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,,0,,,0.218292683,-0.235365854,1,0,0,1.967,plus_button,0.867,,0,3,3,7,1,1.1,images/target_plus.jpg,1,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,,0,,,-0.034146341,-0.236585366,1,0,0,1.982,square_button,0.882,,0,4,4,5,1,1.1,images/target_square.jpg,1,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,,0,,,0.237804878,-0.22804878,1,0,0,2.199,plus_button,0.699,,0,5,5,4,1,1.5,images/target_plus.jpg,1,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,,0,,,-0.223170732,-0.232926829,1,0,0,2.533,cross_button,1.033,,0,6,6,6,1,1.5,images/target_cross.jpg,1,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,,0,,,0.004878049,-0.248780488,1,0,0,1.851,square_button,0.551,,0,7,7,8,1,1.3,images/target_square.jpg,1,,,,,,,,,,,
Escoba,001,2023-11-07_19h21.59.154,choiceRTT,2023.1.3,MacIntel,71.42857143,c,1,2.652,,,,,,,,,1.352,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,
