keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,3.2783,,,,,,,,1.9783,space,3.7299,0,0,0,1,1,1.3,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
v,1,2.2453,,,,,,,,1.1453,space,4.0377,0,1,1,5,1,1.1,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
c,1,2.6012,,,,,,,,1.1012,space,15.0981,0,2,2,6,1,1.5,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
v,1,5.127,,,,,,,,3.627,space,7.8532,0,3,3,2,1,1.5,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
b,1,1.1687,,,,,,,,-0.3313,space,0.8255,0,4,4,4,1,1.5,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
b,0,0.4545,,,,,,,,-0.8455,space,0.3064,0,5,5,8,1,1.3,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
b,0,0.33,,,,,,,,-0.97,space,0.2541,0,6,6,3,1,1.3,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
b,0,0.2913,,,,,,,,-0.8087,space,0.2629,0,7,7,0,1,1.1,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
b,1,0.2982,,,,,,,,-0.8018,space,0.2762,0,8,8,7,1,1.1,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,,,,,
v,1,3.4225,,,,,,,,2.1225,,,,,,,,1.3,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,space,8.0771,0.196977613,0.152476215,0,0,0,0,0,0,8,1
c,1,3.0427,,,,,,,,1.9427,,,,,,,,1.1,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,1,1,0,1
c,1,2.6543,,,,,,,,1.3543,,,,,,,,1.3,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,2,2,3,1
v,1,2.2428,,,,,,,,0.7428,,,,,,,,1.5,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,3,3,2,1
b,1,1.9462,,,,,,,,0.8462,,,,,,,,1.1,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,4,4,7,1
c,1,2.2519,,,,,,,,0.7519,,,,,,,,1.5,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,5,5,6,1
b,1,2.441,,,,,,,,0.941,,,,,,,,1.5,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,6,6,4,1
b,1,1.7542,,,,,,,,0.4542,,,,,,,,1.3,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,7,7,1,1
v,1,1.6938,,,,,,,,0.5938,,,,,,,,1.1,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,0,8,8,5,1
v,1,2.0128,,,,,,,,0.9128,,,,,,,,1.1,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,0,9,5,1
c,1,2.0568,,,,,,,,0.7568,,,,,,,,1.3,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,1,10,3,1
v,1,1.9496,,,,,,,,0.6496,,,,,,,,1.3,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,2,11,8,1
b,1,2.0116,,,,,,,,0.7116,,,,,,,,1.3,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,3,12,1,1
c,1,2.2239,,,,,,,,0.7239,,,,,,,,1.5,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,4,13,6,1
v,1,2.0674,,,,,,,,0.5674,,,,,,,,1.5,images/target_square.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,5,14,2,1
c,1,2.2191,,,,,,,,1.1191,,,,,,,,1.1,images/target_cross.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,6,15,0,1
b,1,1.5769,,,,,,,,0.4769,,,,,,,,1.1,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,7,16,7,1
b,1,1.956,,,,,,,,0.456,,,,,,,,1.5,images/target_plus.jpg,Gonzalez,001,2022-07-30_16h57.15.758,choiceRTT,2021.2.3,Linux aarch64,119.6744854,,,,,,,,1,8,17,4,1
