participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,-0.001157407,-0.239583333,1,0,0,3.733,square_button,1,2.633,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,-0.237268519,-0.252314815,1,0,0,3.526,cross_button,1,2.226,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,-0.244212963,-0.215277778,1,0,0,1.898,cross_button,1,0.798,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,0.082175926,-0.243055556,1,0,0,2.564,square_button,1,1.264,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,0.284722222,-0.266203704,1,0,0,2.629,plus_button,1,1.129,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,0.045138889,-0.25462963,1,0,0,2.896,square_button,1,1.396,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,v,0,,,,,,,,,1.022,,0,6,6,1,1,1.3,images/target_plus.jpg,2.322,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,-0.178240741,-0.263888889,1,0,0,2.647,cross_button,1,1.147,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,,,
Ian,001,2024-01-12_19h57.55.199,choiceRTT,2023.1.3,Win32,61.34969325,,0,-0.025462963,-0.261574074,1,0,0,2.16,square_button,0,1.06,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,,,
