response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.317708333,0.015625,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,0.442708333,-0.02734375,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,-0.44140625,0.018229167,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,0.165364583,0.009114583,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,-0.174479167,0.018229167,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,0.43359375,0.014322917,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,0.158854167,0.022135417,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,-0.12109375,0.04296875,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,,,,,,
,0,0.158854167,0.03125,1,0,0,targImage,,,,,,,1.2222,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.1328125,-0.01171875,1,0,0,targImage,,,,,,,2.3332,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.09375,-0.05859375,1,0,0,targImage,,,,,,,1.4444,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.108072917,-0.048177083,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.421875,0.013020833,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.317708333,0.00390625,1,0,0,targImage,,,,,,,1.8888,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.125,0.02734375,1,0,0,targImage,,,,,,,2.7776,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.4375,-0.022135417,1,0,0,targImage,,,,,,,1.8888,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.329427083,-0.03125,1,0,0,targImage,,,,,,,1,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.33203125,-0.052083333,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.411458333,0.013020833,1,0,0,targImage,,,,,,,1.6666,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.3671875,0.026041667,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.072916667,0.018229167,1,0,0,targImage,,,,,,,2.3332,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.139322917,0.005208333,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.110677083,0.0234375,1,0,0,targImage,,,,,,,2.5554,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.049479167,0.01171875,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.174479167,-0.032552083,1,0,0,targImage,,,,,,,1.8888,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.111979167,-0.014322917,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.28515625,-0.044270833,1,0,0,targImage,,,,,,,2.7776,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.084635417,-0.006510417,1,0,0,targImage,,,,,,,2.111,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.334635417,0.020833333,1,0,0,targImage,,,,,,,2.3332,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.307291667,0.014322917,0,0,1,targImage,,,,,,,2.9998,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.209635417,0.0625,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.3125,-0.055989583,0,0,1,targImage,,,,,,,1.2222,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.286458333,-0.020833333,1,0,0,targImage,,,,,,,2.7776,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.14453125,-0.006510417,1,0,0,targImage,,,,,,,1,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.065104167,0.03125,1,0,0,targImage,,,,,,,2.111,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.078125,0.018229167,1,0,0,targImage,,,,,,,1.6666,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.188802083,-0.045572917,1,0,0,targImage,,,,,,,2.9998,0.125,b,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.27734375,-0.029947917,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.407552083,0.01171875,1,0,0,targImage,,,,,,,1,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.123697917,-0.01171875,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.330729167,0.029947917,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.3515625,-0.03515625,1,0,0,targImage,,,,,,,2.111,0.375,n,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.434895833,0.0390625,1,0,0,targImage,,,,,,,2.111,-0.375,c,Ivana,001,2019-12-02_11h24.27.826,choiceRTT,3.1.3,60,1,0,40,20,1,39
