response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.122222222,0.018981425,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,-0.376851845,0.010648092,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,0.35648151,-0.0125,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,-0.185185178,-0.039351908,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,-0.339814811,0.020833333,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,0.355555556,-0.048611111,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,0.109259288,0.011574046,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,-0.088888889,0.006944444,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,,,,,,
,0,0.405555556,0.085648092,1,0,0,targImage,,,,,,,1.8888,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.35648151,-0.0125,1,0,0,targImage,,,,,,,1,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.35,-0.048611111,1,0,0,targImage,,,,,,,2.5554,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.125925954,0.048611111,1,0,0,targImage,,,,,,,2.7776,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.044444444,0.036574046,1,0,0,targImage,,,,,,,2.5554,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.286111111,0.035648092,1,0,0,targImage,,,,,,,1.4444,-0.375,c,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.397222222,-0.016203732,1,0,0,targImage,,,,,,,2.111,-0.375,c,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.142592621,-0.010648176,1,0,0,targImage,,,,,,,1,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.400925922,-0.018055556,1,0,0,targImage,,,,,,,1.2222,-0.375,c,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.080555556,0.018055556,1,0,0,targImage,,,,,,,1.4444,-0.125,v,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.094444444,-0.053240797,1,0,0,targImage,,,,,,,1.2222,-0.125,v,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.14629631,-0.026388889,1,0,0,targImage,,,,,,,2.111,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.361111111,0.010648092,1,0,0,targImage,,,,,,,2.3332,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.320370399,-0.004166667,1,0,0,targImage,,,,,,,2.7776,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.18148151,0.009722222,1,0,0,targImage,,,,,,,1.8888,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.149074088,-0.046759288,1,0,0,targImage,,,,,,,1.2222,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.124074046,-0.064351908,1,0,0,targImage,,,,,,,1.6666,-0.125,v,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.390740797,-0.023611111,1,0,0,targImage,,,,,,,1.4444,0.375,n,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.122222222,0.03101849,1,0,0,targImage,,,,,,,1.4444,0.125,b,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.083333333,0.006944444,1,0,0,targImage,,,,,,,2.5554,-0.125,v,JG,001,2021-01-02_22h27.37.049,choiceRTT,3.1.3,60,1,0,40,29,1,39
