response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.323148148,0.017592593,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,-0.12962963,-0.013888889,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,-0.148148148,-0.014814815,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,0.087037037,-0.025,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,0.375,-0.032407407,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,-0.296296296,0.003703704,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,0.07962963,0.001851852,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,-0.343518519,-0.00462963,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,,,,,,
,0,0.109259259,0,1,0,0,targImage,,,,,,,2.111,0.125,b,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.283333333,-0.005555556,1,0,0,targImage,,,,,,,1.2222,0.375,n,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.35462963,-0.005555556,1,0,0,targImage,,,,,,,1,-0.375,c,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.134259259,-0.047222222,1,0,0,targImage,,,,,,,2.3332,0.125,b,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.402777778,0.00462963,1,0,0,targImage,,,,,,,1.2222,-0.375,c,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.403703704,-0.008333333,1,0,0,targImage,,,,,,,2.5554,-0.375,c,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.377777778,0.033333333,1,0,0,targImage,,,,,,,1.6666,0.375,n,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.074074074,0.02037037,1,0,0,targImage,,,,,,,2.111,-0.125,v,JP,001,2021-02-28_10h37.06.628,choiceRTT,3.1.3,60,1,0,40,21,1,39
