response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.120370359,0.004629622,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,-0.358796288,0.011574067,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,0.298611129,0.005555548,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,0.350926057,-0.014814822,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,-0.081018506,-0.013888897,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,-0.334259251,-0.009259267,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,0.178240757,-0.0300926,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,0.113425941,-0.029166675,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,,,,,,
,0,0.341666798,-0.007870378,1,0,0,targImage,,,,,,,1.4444,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.098148136,-0.006018526,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.100462978,-0.006018526,1,0,0,targImage,,,,,,,1,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.353240872,-0.006018526,1,0,0,targImage,,,,,,,1.2222,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.386574067,0.008333326,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.131944433,-7.4558E-09,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.132870359,0.004629622,1,0,0,targImage,,,,,,,2.3332,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.459722188,-0.018518526,1,0,0,targImage,,,,,,,2.7776,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.318055547,-0.006944452,1,0,0,targImage,,,,,,,1.8888,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.085648136,-0.025462971,1,0,0,targImage,,,,,,,2.111,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.324074066,0.003240733,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.136574063,-0.010648156,1,0,0,targImage,,,,,,,1,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.318055547,-0.003703711,1,0,0,targImage,,,,,,,1,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.314814806,-0.000925933,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.317129648,-0.013888897,1,0,0,targImage,,,,,,,1.8888,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.293981499,-0.006944452,1,0,0,targImage,,,,,,,1,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.318055574,-0.007870378,1,0,0,targImage,,,,,,,2.9998,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.349537055,-0.006018526,1,0,0,targImage,,,,,,,2.111,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.452314835,-7.4558E-09,1,0,0,targImage,,,,,,,1.6666,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.107407422,-0.019907415,1,0,0,targImage,,,,,,,2.9998,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.138888878,-0.008333341,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.153703719,-0.004629637,1,0,0,targImage,,,,,,,1.8888,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.14444446,-0.004629637,1,0,0,targImage,,,,,,,1.6666,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.099537052,-0.006944452,1,0,0,targImage,,,,,,,1.2222,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.381944463,-0.011574082,1,0,0,targImage,,,,,,,2.5554,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.123611126,-0.007870378,1,0,0,targImage,,,,,,,2.5554,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.084259274,-0.010185193,1,0,0,targImage,,,,,,,2.7776,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.1236111,-0.009259267,1,0,0,targImage,,,,,,,2.7776,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.367129622,0.005555548,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.129629618,-7.4558E-09,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.364351844,-0.006018526,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.076388877,-0.011574082,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.356481474,-0.006018526,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.179629646,-0.016203711,1,0,0,targImage,,,,,,,2.3332,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.325000018,-0.000925933,1,0,0,targImage,,,,,,,2.3332,0.375,n,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.168981497,-0.006944452,1,0,0,targImage,,,,,,,2.111,0.125,b,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.141203693,-0.003240748,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Jack,001,2020-04-15_11h17.30.961,choiceRTT,3.1.3,60,1,0,40,5,1,39
