response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.394444444,0.000925926,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,0.147222222,-0.005555556,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,0.342592593,-0.009259259,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,0.133333333,0.006481481,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,-0.102777778,0.000925926,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,-0.352777778,-0.011111111,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,-0.093518519,-0.017592593,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,0.425925926,0.022222222,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,,,,,,
,0,-0.349074074,-0.02962963,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.130555556,0.050925926,1,0,0,targImage,,,,,,,2.3332,0.125,b,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.140740741,0.038888889,1,0,0,targImage,,,,,,,2.5554,0.125,b,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.311111111,-0.040740741,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.142592593,0.025925926,1,0,0,targImage,,,,,,,1.4444,0.125,b,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.093518519,-0.012962963,1,0,0,targImage,,,,,,,1.6666,0.125,b,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.103703704,0.010185185,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.099074074,-0.025925926,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.093518519,-0.037037037,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.108333333,0.010185185,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Jaime,001,2021-04-08_12h45.55.846,choiceRTT,3.1.3,60,1,0,40,29,1,39
