participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,0,6.2908,,,,,,,,,4.9908,space,2.6658,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,1,2.6201,,,,,,,,,1.1201,space,1.519,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,1,1.7953,,,,,,,,,0.6953,v,1.6579,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,1,1.9817,,,,,,,,,0.6817,v,2.0411,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,c,1,2.2357,,,,,,,,,0.7357,v,1.2862,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,0,1.6234,,,,,,,,,0.5234,c,0.8809,,0,5,5,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,0,2.1848,,,,,,,,,0.6848,b,0.0085,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,v,0,1.9316,,,,,,,,,0.6316,v,0.5643,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
John,001,2023-08-02_11h57.35.533,choiceRTT,2023.1.3,Win32,14.38704015,c,1,0.2641,,,,,,,,,-0.8359,c,0.4308,,0,8,8,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
