response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.355555556,-0.011111111,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,-0.155555556,0.024074074,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,-0.419444444,-0.003703704,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,-0.352777778,0.000925926,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,0.322222222,-0.015740741,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,0.110185185,-0.031481481,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,-0.125925926,-0.012962963,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,0.115740741,-0.026851852,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,,,,,,
,0,0.324074074,-0.033333333,1,0,0,targImage,,,,,,,2.9998,0.375,n,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.175925926,0.027777778,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.398148148,-0.018518519,1,0,0,targImage,,,,,,,2.7776,0.375,n,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.362037037,0.003703704,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.112962963,0.000925926,1,0,0,targImage,,,,,,,1,-0.125,v,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.337037037,-0.003703704,1,0,0,targImage,,,,,,,2.7776,-0.375,c,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.072222222,-0.025925926,1,0,0,targImage,,,,,,,2.9998,0.125,b,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.165740741,0.002777778,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.393518519,0.008333333,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.437037037,-0.040740741,1,0,0,targImage,,,,,,,2.3332,0.375,n,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.140740741,-0.015740741,1,0,0,targImage,,,,,,,1,0.125,b,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.12962963,-0.001851852,1,0,0,targImage,,,,,,,2.111,-0.125,v,Juanita,001,2021-07-21_17h48.46.786,choiceRTT,3.1.3,60,1,0,40,21,1,39
