response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.112037037,0.000925926,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,0.114814815,0.003703704,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,-0.382407407,-0.00462963,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,0.394444444,-0.005555556,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,-0.319444444,0.022222222,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,0.298148148,0.025,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,-0.173148148,0.016666667,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,0.136111111,0.007407407,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,,,,,,
,0,-0.362962963,-0.003703704,1,0,0,targImage,,,,,,,2.111,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.080555556,0.000925926,1,0,0,targImage,,,,,,,1,-0.125,v,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.128703704,-0.003703704,1,0,0,targImage,,,,,,,1.8888,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.377777778,-0.00462963,1,0,0,targImage,,,,,,,1.2222,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.156481481,-0.006481481,1,0,0,targImage,,,,,,,2.3332,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.376851852,0,1,0,0,targImage,,,,,,,2.3332,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.294444444,0.016666667,1,0,0,targImage,,,,,,,2.5554,0.375,n,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.111111111,-0.010185185,1,0,0,targImage,,,,,,,1.2222,-0.125,v,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.052777778,-0.003703704,1,0,0,targImage,,,,,,,1.6666,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.187037037,0.02962963,1,0,0,targImage,,,,,,,1.6666,-0.125,v,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.324074074,-0.05,1,0,0,targImage,,,,,,,2.9998,0.375,n,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.153703704,0.00462963,1,0,0,targImage,,,,,,,1.8888,-0.125,v,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.148148148,-0.000925926,1,0,0,targImage,,,,,,,1,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.398148148,-0.037037037,1,0,0,targImage,,,,,,,2.5554,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.350925926,-0.050925926,1,0,0,targImage,,,,,,,2.9998,-0.375,c,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.110840438,0.03593179,1,0,0,targImage,,,,,,,2.9998,0.125,b,K,001,2020-08-22_17h20.45.369,choiceRTT,3.1.3,60,1,0,40,38,1,39
