participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,v,1,3.4645,,,,,,,,,2.3645,space,5.0403,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,v,1,3.0491,,,,,,,,,1.7491,space,3.8563,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.5036,,,,,,,,,1.4036,space,1.4798,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,b,0,3.0881,,,,,,,,,1.5881,space,2.0222,0.0032,0,3,3,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.0817,,,,,,,,,0.7817,space,2.1986,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,b,0,1.7473,,,,,,,,,0.6473,space,1.1697,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,b,1,1.895,,,,,,,,,0.395,space,1.5404,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,v,1,2.2155,,,,,,,,,0.7155,space,2.4044,,0,7,7,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
Ken,001,2024-01-29_08h40.37.442,choiceRTT,2023.1.3,Win32,59.52380952,c,1,2.6104,,,,,,,,,1.3104,space,1.2035,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
