response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.378703688,0.035185143,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,0.113888919,0.016666652,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,0.113888919,0.016666652,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,-0.114814735,0.009259245,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,-0.35092591,0.01944443,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,0.346296333,0.022222208,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,-0.104629606,0.000925911,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,0.312037073,0.039814801,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,,,,,,
,0,-0.319444427,0.006481467,1,0,0,targImage,,,,,,,1,-0.375,c,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.118518496,-1.4912E-08,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Laura,001,2020-05-13_15h40.08.100,choiceRTT,3.1.3,60,1,0,40,29,1,39
