participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,v,0,3.9602,,,,,,,,,2.6602,space,5.5525,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,b,1,3.141900001,,,,,,,,,1.641900001,space,3.8111,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,v,1,3.1075,,,,,,,,,1.6075,space,3.207,,0,2,2,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,c,1,2.3733,,,,,,,,,1.2733,space,1.7663,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,b,0,1.8734,,,,,,,,,0.5734,space,1.0476,,0,4,4,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,v,1,2.0168,,,,,,,,,0.9168,space,0.858,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,b,1,1.9465,,,,,,,,,0.8465,space,0.940900001,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,b,1,2.1934,,,,,,,,,0.8934,space,0.7157,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
Lautaro,001,2023-09-21_11h48.16.680,choiceRTT,2023.1.3,Win32,59.84440455,c,1,2.4073,,,,,,,,,0.9073,space,0.656400001,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
