response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.40234375,-0.017578125,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,-0.126953125,-0.005859375,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,0.138671875,0.000976563,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,-0.364257813,-0.001953125,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,-0.140625,-0.00390625,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,0.375,-0.013671875,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,0.375,-0.013671875,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,0.119140625,0.000976563,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,,,,,,
,0,0.354492188,0.002929688,1,0,0,targImage,,,,,,,1,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.330078125,-0.013671875,1,0,0,targImage,,,,,,,1.8888,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.135742188,0.01171875,1,0,0,targImage,,,,,,,2.9998,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.359375,-0.017578125,1,0,0,targImage,,,,,,,2.5554,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.328125,0,1,0,0,targImage,,,,,,,2.9998,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.350585938,-0.0078125,1,0,0,targImage,,,,,,,1.6666,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.389648438,0.005859375,1,0,0,targImage,,,,,,,2.7776,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.131835938,0.013671875,1,0,0,targImage,,,,,,,1.4444,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.119140625,0.000976563,1,0,0,targImage,,,,,,,2.3332,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.3515625,0.015625,1,0,0,targImage,,,,,,,2.5554,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.14453125,0.029296875,1,0,0,targImage,,,,,,,1.8888,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.403320313,-0.004882813,1,0,0,targImage,,,,,,,2.111,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.10546875,0.029296875,1,0,0,targImage,,,,,,,2.111,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.41796875,0.020507813,1,0,0,targImage,,,,,,,2.3332,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.125,0.015625,1,0,0,targImage,,,,,,,1,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.146484375,0.004882813,1,0,0,targImage,,,,,,,1.8888,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.1171875,-0.026367188,1,0,0,targImage,,,,,,,2.7776,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.077148438,0.013671875,1,0,0,targImage,,,,,,,1.6666,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.419921875,0.043945313,1,0,0,targImage,,,,,,,1.2222,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.106445313,-0.034179688,1,0,0,targImage,,,,,,,2.111,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.157226563,0.033203125,1,0,0,targImage,,,,,,,1.4444,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.360351563,0.004882813,1,0,0,targImage,,,,,,,1.8888,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.340820313,-0.038085938,1,0,0,targImage,,,,,,,1.4444,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.375976563,-0.021484375,1,0,0,targImage,,,,,,,2.111,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.3515625,0.004882813,1,0,0,targImage,,,,,,,2.9998,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.401367188,-0.01171875,1,0,0,targImage,,,,,,,2.7776,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.341796875,0.03125,1,0,0,targImage,,,,,,,2.3332,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.19140625,-0.004882813,1,0,0,targImage,,,,,,,1.2222,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.125,-0.03515625,1,0,0,targImage,,,,,,,2.7776,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.16796875,0.012695313,1,0,0,targImage,,,,,,,1.6666,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.46875,-0.02734375,1,0,0,targImage,,,,,,,1.4444,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.122070313,0.008789063,1,0,0,targImage,,,,,,,2.5554,-0.125,v,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.125,0.03515625,1,0,0,targImage,,,,,,,1,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.071289063,-0.03125,1,0,0,targImage,,,,,,,2.5554,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.369140625,0.005859375,1,0,0,targImage,,,,,,,1.6666,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,0.137695313,0.0078125,1,0,0,targImage,,,,,,,2.9998,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.376953125,-0.006835938,1,0,0,targImage,,,,,,,1.2222,0.375,n,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.109375,-0.00390625,1,0,0,targImage,,,,,,,2.3332,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.153320313,-0.00390625,1,0,0,targImage,,,,,,,1.2222,0.125,b,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.361328125,-0.00390625,1,0,0,targImage,,,,,,,1,-0.375,c,MM,001,2020-05-04_18h22.56.822,choiceRTT,3.1.3,60,1,0,40,0,1,39
