keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,3.324,,,,,,,,1.824,space,3.658,0,0,0,6,1,1.5,images/target_cross.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
v,1,2.729,,,,,,,,1.629,space,1.182,0,1,1,5,1,1.1,images/target_square.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
c,0,2.061,,,,,,,,0.961,space,1.135,0,2,2,7,1,1.1,images/target_plus.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
c,1,2.045,,,,,,,,0.945,space,0.571,0,3,3,0,1,1.1,images/target_cross.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
v,1,2.077,,,,,,,,0.777,space,0.489,0,4,4,8,1,1.3,images/target_square.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
v,0,2.261,,,,,,,,0.761,space,0.74,0,5,5,4,1,1.5,images/target_plus.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
c,1,2.112,,,,,,,,0.812,space,0.485,0,6,6,3,1,1.3,images/target_cross.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
b,1,2.298,,,,,,,,0.998,space,0.503,0,7,7,1,1,1.3,images/target_plus.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
v,1,2.279,,,,,,,,0.779,space,0.519,0,8,8,2,1,1.5,images/target_square.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,,,,,,,,,,,,
v,1,2.167,,,,,,,,0.867,,,,,,,,1.3,images/target_square.jpg,Me,001,2023-05-04_15h39.44.009,choiceRTT,2021.2.3,MacIntel,58.89281508,space,1.886,0.286666667,-0.121111111,0,0,0,0,0,0,8,1
