participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.26171875,-0.248063114,1,0,0,4.1868,cross_button,1,2.8868,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.242248302,-0.233228491,1,0,0,2.017,cross_button,1,0.917,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.282526745,-0.243427242,1,0,0,2.7619,plus_button,1,1.4619,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.31683191,-0.261970543,1,0,0,2.4739,plus_button,1,0.9739,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.285308185,-0.256407571,1,0,0,1.8089,plus_button,1,0.7089,,0,4,4,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.021066368,-0.233228491,1,0,0,2.3233,square_button,1,0.8233,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.017357736,-0.257334765,1,0,0,2.049,square_button,1,0.749,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.270990401,-0.253626086,1,0,0,2.3506,cross_button,1,0.8506,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.018284882,-0.233228491,1,0,0,2.1882,square_button,1,1.0882,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,,,,,,,,,,,,,,,,,,,,0.027556533,-0.253626086,1,0,0,,,,,
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.007675731,-0.241572949,1,0,0,2.0946,square_button,1,0.9946,,,,,,,1.1,images/target_square.jpg,,,,,,,0,0,0,5,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.031265165,-0.236009977,1,0,0,2.0447,square_button,1,0.5447,,,,,,,1.5,images/target_square.jpg,,,,,,,0,1,1,2,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.280672453,-0.209122217,1,0,0,1.977,plus_button,1,0.877,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,2,2,7,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.02848368,-0.248990213,1,0,0,2.1769,square_button,1,0.8769,,,,,,,1.3,images/target_square.jpg,,,,,,,0,3,3,8,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.259347618,-0.229519812,1,0,0,2.3443,plus_button,1,0.8443,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,4,4,4,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.282116368,-0.244354435,1,0,0,2.0865,cross_button,1,0.7865,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,5,5,3,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.29087125,-0.236937077,1,0,0,2.2535,plus_button,1,0.9535,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,6,6,1,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.217214858,-0.238791463,1,0,0,2.7604,cross_button,1,1.2604,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,7,7,6,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.252447122,-0.255480378,1,0,0,1.8583,cross_button,1,0.7583,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,8,8,0,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.025702194,-0.255480378,1,0,0,2.2514,square_button,1,0.9514,,,,,,,1.3,images/target_square.jpg,,,,,,,1,0,9,8,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,0.015503396,-0.244354435,1,0,0,2.2292,square_button,1,0.7292,,,,,,,1.5,images/target_square.jpg,,,,,,,1,1,10,2,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.258010094,-0.267533515,1,0,0,2.5923,cross_button,1,1.2923,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,2,11,3,1
Micha,001,2023-12-17_24h34.56.165,choiceRTT,2023.1.3,Linux armv81,39.84063745,,0,-0.238539646,-0.247135921,1,0,0,1.806,cross_button,1,0.706,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,3,12,0,1
