response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.330555556,-0.023611111,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,0.388888889,-0.009722222,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,-0.133333333,-0.006944444,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,-0.1,-0.022222222,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,0.122222222,-0.040277778,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,0.352777778,-0.0125,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,-0.329166667,-0.001388889,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,0.109722222,-0.001388889,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,,,,,,
,0,0.126388889,-0.008333333,1,0,0,targImage,,,,,,,1.4444,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.408333333,-0.023611111,1,0,0,targImage,,,,,,,2.7776,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.086111111,-0.016666667,1,0,0,targImage,,,,,,,1,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.415277778,-0.013888889,1,0,0,targImage,,,,,,,1.4444,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.369444444,-0.023611111,1,0,0,targImage,,,,,,,1.8888,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.298611111,-0.0125,1,0,0,targImage,,,,,,,1.6666,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.379166667,-0.029166667,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.351388889,-0.016666667,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.15,-0.015277778,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.143055556,-0.019444444,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.070833333,-0.0125,1,0,0,targImage,,,,,,,2.3332,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.459722222,-0.019444444,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.134722222,-0.001388889,1,0,0,targImage,,,,,,,2.111,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.3375,-0.0125,1,0,0,targImage,,,,,,,2.7776,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.126388889,-0.018055556,1,0,0,targImage,,,,,,,2.3332,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.3125,0.0125,1,0,0,targImage,,,,,,,1,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.094444444,0.029166667,1,0,0,targImage,,,,,,,1.6666,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.304166667,-0.0125,1,0,0,targImage,,,,,,,1,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.352777778,0.020833333,1,0,0,targImage,,,,,,,1.8888,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.318055556,-0.001388889,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.033333333,-0.001388889,1,0,0,targImage,,,,,,,2.5554,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.3625,-0.002777778,1,0,0,targImage,,,,,,,1.2222,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.076388889,-0.016666667,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.168055556,-0.016666667,1,0,0,targImage,,,,,,,2.7776,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.318055556,0.023611111,1,0,0,targImage,,,,,,,2.111,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.072222222,-0.009722222,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.323611111,0.009722222,1,0,0,targImage,,,,,,,2.3332,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.126388889,-0.006944444,1,0,0,targImage,,,,,,,2.111,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.104166667,0.009722222,1,0,0,targImage,,,,,,,1.8888,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.104166667,-0.006944444,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.343055556,-0.018055556,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.120833333,0.018055556,1,0,0,targImage,,,,,,,1.2222,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.086111111,0.001388889,1,0,0,targImage,,,,,,,2.9998,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.340557276,0.017027864,1,0,0,targImage,,,,,,,2.9998,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.123839009,-0.003095975,1,0,0,targImage,,,,,,,2.7776,0.125,b,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.371517028,0.009287926,1,0,0,targImage,,,,,,,2.5554,0.375,n,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.289473684,-0.018575851,1,0,0,targImage,,,,,,,2.111,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.300309598,-0.023219814,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.147058824,-0.021671827,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.171826625,-0.021671827,1,0,0,targImage,,,,,,,1,-0.125,v,Mo,001,2020-05-05_15h01.02.624,choiceRTT,3.1.3,60,1,0,40,1,1,39
