keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,4.4402,,,,,,,,3.3402,space,6.526,0,0,0,5,1,1.1,images/target_square.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
v,1,2.486,,,,,,,,1.186,v,1.5163,0,1,1,8,1,1.3,images/target_square.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
c,0,2.4318,,,,,,,,0.9318,space,0.976,0,2,2,4,1,1.5,images/target_plus.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
c,1,4.0278,0.421296296,-0.289814815,1,0,0,2.1493,,2.9278,space,2.5155,0,3,3,0,1,1.1,images/target_cross.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
c,1,2.0434,,,,,,,,0.7434,space,1.8168,0,4,4,3,1,1.3,images/target_cross.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
b,1,2.3741,,,,,,,,1.2741,space,1.0368,0,5,5,7,1,1.1,images/target_plus.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
v,1,2.4326,,,,,,,,0.9326,space,0.7097,0,6,6,2,1,1.5,images/target_square.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
b,1,2.454,,,,,,,,1.154,space,0.5495,0,7,7,1,1,1.3,images/target_plus.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
c,1,2.7013,,,,,,,,1.2013,space,0.4583,0,8,8,6,1,1.5,images/target_cross.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,,,,,
c,1,2.9193,,,,,,,,1.4193,,,,,,,,1.5,images/target_cross.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,space,2.8876,0.422222222,-0.287962963,0,0,0,0,0,0,6,1
c,1,1.9217,,,,,,,,0.6217,,,,,,,,1.3,images/target_cross.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,0,1,1,3,1
b,1,2.0495,,,,,,,,0.7495,,,,,,,,1.3,images/target_plus.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,0,2,2,1,1
b,1,2.6362,,,,,,,,1.5362,,,,,,,,1.1,images/target_plus.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,0,3,3,7,1
b,1,2.2122,,,,,,,,0.7122,,,,,,,,1.5,images/target_plus.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,0,4,4,4,1
v,1,2.2682,,,,,,,,0.7682,,,,,,,,1.5,images/target_square.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,0,5,5,2,1
v,1,1.7877,,,,,,,,0.4877,,,,,,,,1.3,images/target_square.jpg,Nadia,001,2022-07-11_14h38.04.504,choiceRTT,2021.2.3,Win32,59.75500448,,,,,,,,0,6,6,8,1
