response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.325925926,0.035185185,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,0.160185185,0.031481481,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,0.160185185,0.031481481,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,-0.302777778,0.033333333,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,-0.140740741,0.034259259,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,-0.05,0.013888889,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,0.323148148,0.006481481,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,0.323148148,0.006481481,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,,,,,,
,0,0.291666667,-0.013888889,1,0,0,targImage,,,,,,,1.8888,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,19,1,39
,0,-0.412962963,0.002777778,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,36,1,39
,0,-0.396296296,-0.007407407,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,8,1,39
,0,0.381481481,0.017592593,1,0,0,targImage,,,,,,,2.3332,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,27,1,39
,0,0.12037037,0.023148148,1,0,0,targImage,,,,,,,1,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,2,1,39
,0,0.12037037,0.023148148,1,0,0,targImage,,,,,,,2.111,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,22,1,39
,0,-0.057407407,0.028703704,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,13,1,39
,0,0.122222222,0.012037037,1,0,0,targImage,,,,,,,2.9998,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,38,1,39
,0,-0.316666667,0.033333333,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,28,1,39
,0,-0.173148148,0.032407407,1,0,0,targImage,,,,,,,2.111,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,21,1,39
,0,0.125925926,0.013888889,1,0,0,targImage,,,,,,,1.2222,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,6,1,39
,0,-0.161111111,0.02962963,1,0,0,targImage,,,,,,,2.3332,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,25,1,39
,0,0.347222222,0.023148148,1,0,0,targImage,,,,,,,1.6666,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,15,1,39
,0,0.347222222,0.024074074,1,0,0,targImage,,,,,,,2.5554,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,31,1,39
,0,-0.106481481,0.043518519,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,17,1,39
,0,0.146296296,0.035185185,1,0,0,targImage,,,,,,,1.4444,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,10,1,39
,0,0.367592593,0.032407407,1,0,0,targImage,,,,,,,1.4444,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,11,1,39
,0,0.368518519,0.032407407,1,0,0,targImage,,,,,,,1,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,3,1,39
,0,-0.360185185,0.047222222,1,0,0,targImage,,,,,,,1,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,0,1,39
,0,-0.437037037,0.025,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,4,1,39
,0,0.163888889,0.015740741,1,0,0,targImage,,,,,,,2.5554,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,30,1,39
,0,-0.348148148,0.049074074,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,12,1,39
,0,-0.059259259,0.026851852,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,37,1,39
,0,-0.05462963,0.032407407,1,0,0,targImage,,,,,,,2.7776,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,33,1,39
,0,0.303703704,0.025925926,1,0,0,targImage,,,,,,,2.9998,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,39,1,39
,0,-0.069444444,0.026851852,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,29,1,39
,0,-0.34537037,0.033333333,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,24,1,39
,0,0.10462963,0.02962963,1,0,0,targImage,,,,,,,1.8888,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,18,1,39
,0,0.346296296,0.028703704,1,0,0,targImage,,,,,,,2.7776,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,35,1,39
,0,-0.113888889,0.00462963,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,9,1,39
,0,-0.117592593,0.00462963,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,5,1,39
,0,0.337962963,0.002777778,1,0,0,targImage,,,,,,,1.2222,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,7,1,39
,0,0.37037037,0.003703704,1,0,0,targImage,,,,,,,2.111,0.375,n,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,23,1,39
,0,0.066666667,0.002777778,1,0,0,targImage,,,,,,,2.3332,0.125,b,Nandin-Erdene,001,2019-04-02_12h56.57.502,choiceRTT,3.0.3,60,1,0,40,26,1,39
