response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.42962963,-0.012962963,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,-0.375,0.025,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,-0.369444444,-0.005555556,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,-0.112037037,-0.005555556,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,0.17037037,-0.013888889,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,0.409259259,-0.011111111,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,-0.081481481,0.015740741,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,0.063888889,0.018518519,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,,,,,,
,0,-0.312962963,0.023148148,1,0,0,targImage,,,,,,,2.9998,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.387962963,-0.003703704,1,0,0,targImage,,,,,,,2.3332,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.116666667,-0.010185185,1,0,0,targImage,,,,,,,1.6666,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.171296296,0,1,0,0,targImage,,,,,,,1,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.319444444,0.031481481,1,0,0,targImage,,,,,,,1.4444,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.303703704,0.021296296,1,0,0,targImage,,,,,,,1.8888,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.382407407,0.028703704,1,0,0,targImage,,,,,,,2.111,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.156481481,0.009259259,1,0,0,targImage,,,,,,,1.8888,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.05462963,0.018518519,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.394444444,0.033333333,1,0,0,targImage,,,,,,,1.8888,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.117592593,0.012962963,1,0,0,targImage,,,,,,,2.111,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.093518519,-0.001851852,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.198148148,0.015740741,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.1,0.001851852,1,0,0,targImage,,,,,,,2.5554,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.10462963,0.025925926,1,0,0,targImage,,,,,,,2.9998,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.297222222,-0.009259259,1,0,0,targImage,,,,,,,1.6666,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.328703704,0.022222222,1,0,0,targImage,,,,,,,1.4444,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.098148148,0,1,0,0,targImage,,,,,,,2.9998,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.319444444,0.019444444,1,0,0,targImage,,,,,,,1.6666,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.315740741,0.02962963,1,0,0,targImage,,,,,,,1.2222,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.293518519,-0.025,1,0,0,targImage,,,,,,,1,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.121296296,-0.001851852,1,0,0,targImage,,,,,,,1.2222,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.072222222,0.019444444,1,0,0,targImage,,,,,,,2.3332,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.088888889,0.024074074,1,0,0,targImage,,,,,,,2.111,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.337037037,0.02962963,1,0,0,targImage,,,,,,,2.5554,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.062037037,0.046296296,1,0,0,targImage,,,,,,,2.3332,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.292592593,0.022222222,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.293518519,0.025,1,0,0,targImage,,,,,,,2.7776,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.325,0.003703704,1,0,0,targImage,,,,,,,2.7776,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.085185185,0.02962963,1,0,0,targImage,,,,,,,2.5554,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.331481481,0.040740741,1,0,0,targImage,,,,,,,1,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.112037037,0.015740741,1,0,0,targImage,,,,,,,1.4444,0.125,b,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.35462963,0.02037037,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.318518519,-0.002777778,1,0,0,targImage,,,,,,,1.2222,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.351851852,0.002777778,1,0,0,targImage,,,,,,,2.9998,0.375,n,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.087962963,0.037962963,1,0,0,targImage,,,,,,,2.7776,-0.125,v,Nestor,001,2021-08-12_07h59.54.832,choiceRTT,3.1.3,60,1,0,40,33,1,39
