keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,5.6466,,,,,,,,4.5466,space,7.5747,0,0,0,5,1,1.1,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
c,1,4.1905,,,,,,,,3.0905,space,5.778,0,1,1,0,1,1.1,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
b,1,2.2854,,,,,,,,0.9854,space,2.034,0,2,2,1,1,1.3,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
b,1,1.9248,,,,,,,,0.8248,space,1.7262,0,3,3,7,1,1.1,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
b,1,1.968,,,,,,,,0.468,space,1.0108,0,4,4,4,1,1.5,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
v,1,2.2028,,,,,,,,0.9028,space,1.985,0,5,5,8,1,1.3,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
v,1,2.2278,,,,,,,,0.7278,space,3.6328,0,6,6,2,1,1.5,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
c,1,2.5423,,,,,,,,1.0423,c,4.2231,0,7,7,6,1,1.5,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
b,0,1.8859,,,,,,,,0.5859,b,3.4113,0,8,8,3,1,1.3,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,,,,,
b,0,2.265,,,,,,,,0.965,,,,,,,,1.3,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,-0.01851849,-0.245370399,1,0,0,0,0,0,8,1
c,1,2.2318,,,,,,,,0.9318,,,,,,,,1.3,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,1,1,3,1
c,1,2.2153,,,,,,,,0.7153,,,,,,,,1.5,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,2,2,6,1
b,1,1.8568,,,,,,,,0.7568,,,,,,,,1.1,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,3,3,7,1
b,1,2.2357,,,,,,,,0.9357,,,,,,,,1.3,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,4,4,1,1
c,1,2.0042,,,,,,,,0.9042,,,,,,,,1.1,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,5,5,0,1
v,1,2.3923,,,,,,,,0.8923,,,,,,,,1.5,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,6,6,2,1
v,1,1.5545,,,,,,,,0.4545,,,,,,,,1.1,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,7,7,5,1
b,1,2.2463,,,,,,,,0.7463,,,,,,,,1.5,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,0,8,8,4,1
b,1,1.8688,,,,,,,,0.7688,,,,,,,,1.1,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,0,9,7,1
v,1,1.8527,,,,,,,,0.7527,,,,,,,,1.1,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,1,10,5,1
c,1,2.1765,,,,,,,,0.8765,,,,,,,,1.3,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,2,11,3,1
v,1,2.3115,,,,,,,,0.8115,,,,,,,,1.5,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,3,12,2,1
b,1,2.1712,,,,,,,,0.8712,,,,,,,,1.3,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,4,13,1,1
v,1,2.1444,,,,,,,,0.8444,,,,,,,,1.3,images/target_square.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,5,14,8,1
b,1,2.5208,,,,,,,,1.0208,,,,,,,,1.5,images/target_plus.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,6,15,4,1
c,1,2.0752,,,,,,,,0.9752,,,,,,,,1.1,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,7,16,0,1
c,1,1.9392,,,,,,,,0.4392,,,,,,,,1.5,images/target_cross.jpg,,001,02/22/2023_15h31.59.173,choiceRTT,2021.2.3,Win32,59.97001499,,,,,,,1,8,17,6,1
