keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,0.2009,,,,,,,,-1.2991,space,3.2305,0,0,0,4,1,1.5,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
b,1,2.099,,,,,,,,0.999,space,1.686,0,1,1,7,1,1.1,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
v,1,2.1412,,,,,,,,1.0412,space,2.4132,0,2,2,5,1,1.1,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
c,1,2.0655,,,,,,,,0.9655,space,1.1434,0,3,3,0,1,1.1,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
c,1,2.5093,,,,,,,,1.0093,space,1.1876,0,4,4,6,1,1.5,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
c,0,2.1545,,,,,,,,0.8545,space,1.8207,0,5,5,1,1,1.3,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
c,1,2.1936,,,,,,,,0.8936,space,1.3121,0,6,6,3,1,1.3,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
v,1,2.1072,,,,,,,,0.8072,space,1.1107,0,7,7,8,1,1.3,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
v,1,2.2383,,,,,,,,0.7383,space,0.9522,0,8,8,2,1,1.5,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
v,1,1.9539,,,,,,,,0.6539,,,,,,,,1.3,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,space,2.0966,0.28148151,-0.298148176,0,0,0,0,0,0,8,1
b,1,2.0602,,,,,,,,0.7602,,,,,,,,1.3,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,1,1,1,1
v,1,1.7761,,,,,,,,0.6761,,,,,,,,1.1,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,2,2,5,1
c,1,2.2567,,,,,,,,0.7567,,,,,,,,1.5,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,3,3,6,1
b,1,1.9104,,,,,,,,0.8104,,,,,,,,1.1,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,4,4,7,1
b,1,2.5908,,,,,,,,1.0908,,,,,,,,1.5,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,5,5,4,1
v,1,2.1764,,,,,,,,0.6764,,,,,,,,1.5,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,6,6,2,1
c,1,2.1595,,,,,,,,0.8595,,,,,,,,1.3,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,7,7,3,1
c,1,1.7563,,,,,,,,0.6563,,,,,,,,1.1,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,0,8,8,0,1
c,1,1.5373,,,,,,,,0.4373,,,,,,,,1.1,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,0,9,0,1
b,1,2.289,,,,,,,,0.789,,,,,,,,1.5,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,1,10,4,1
b,1,1.7053,,,,,,,,0.6053,,,,,,,,1.1,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,2,11,7,1
c,1,2.4681,,,,,,,,0.9681,,,,,,,,1.5,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,3,12,6,1
v,1,2.286,,,,,,,,0.786,,,,,,,,1.5,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,4,13,2,1
c,1,2.3517,,,,,,,,1.0517,,,,,,,,1.3,images/target_cross.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,5,14,3,1
b,1,2.7691,,,,,,,,1.4691,,,,,,,,1.3,images/target_plus.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,6,15,1,1
v,1,1.8052,,,,,,,,0.7052,,,,,,,,1.1,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,7,16,5,1
v,1,1.9531,,,,,,,,0.6531,,,,,,,,1.3,images/target_square.jpg,,001,02/22/2023_15h53.09.937,choiceRTT,2021.2.3,Win32,60.0024001,,,,,,,,1,8,17,8,1
