response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
c,0,4.407999992,-0.049074049,0.038888875,0,0,0,1,0,8,1,1,7,1,-0.125,v,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
c,0,3.029999971,-0.049074049,0.038888875,0,0,0,1,0,8,5,1,7,1,-0.125,v,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
c,1,3.062000036,-0.049074049,0.038888875,0,0,0,1,0,8,0,1,7,1,-0.375,c,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
c,0,1.263999939,-0.049074049,0.038888875,0,0,0,1,0,8,7,1,7,1,0.375,n,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
v,0,0.263999939,-0.049074049,0.038888875,0,0,0,1,0,8,2,1,7,1,0.125,b,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
n,1,1.014000177,-0.049074049,0.038888875,0,0,0,1,0,8,3,1,7,1,0.375,n,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
b,1,0.529999971,-0.049074049,0.038888875,0,0,0,1,0,8,6,1,7,1,0.125,b,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
c,1,0.480999947,-0.049074049,0.038888875,0,0,0,1,0,8,4,1,7,1,-0.375,c,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,,,,,,
b,1,0.829999924,-0.049074049,0.038888875,0,0,0,,,,,,,1,0.125,b,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,2,1,39
n,1,0.515000105,-0.049074049,0.038888875,0,0,0,,,,,,,1.4444,0.375,n,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,11,1,39
v,0,0.54700017,-0.049074049,0.038888875,0,0,0,,,,,,,1.4444,0.125,b,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,10,1,39
c,1,0.464000225,-0.049074049,0.038888875,0,0,0,,,,,,,2.9998,-0.375,c,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,36,1,39
b,1,0.398000002,-0.049074049,0.038888875,0,0,0,,,,,,,1.8888,0.125,b,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,18,1,39
v,1,0.513999939,-0.049074049,0.038888875,0,0,0,,,,,,,1.2222,-0.125,v,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,5,1,39
n,1,0.296999931,-0.049074049,0.038888875,0,0,0,,,,,,,2.7776,0.375,n,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,35,1,39
c,1,0.378999949,-0.049074049,0.038888875,0,0,0,,,,,,,2.3332,-0.375,c,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,24,1,39
c,1,0.447999954,-0.049074049,0.038888875,0,0,0,,,,,,,1.6666,-0.375,c,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,12,1,39
b,1,0.461999893,-0.049074049,0.038888875,0,0,0,,,,,,,1.2222,0.125,b,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,6,1,39
n,1,0.546000004,-0.049074049,0.038888875,0,0,0,,,,,,,2.3332,0.375,n,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,27,1,39
v,1,0.430999994,-0.049074049,0.038888875,0,0,0,,,,,,,2.3332,-0.125,v,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,25,1,39
c,1,0.362999916,-0.049074049,0.038888875,0,0,0,,,,,,,1.4444,-0.375,c,,001,2020-07-08_10h24.57.848,choiceRTT,3.1.3,60,1,0,40,8,1,39
