response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,0,2.06099987,-0.493518519,-0.091666667,0,0,0,1,0,8,5,1,7,1,-0.125,v,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,0,0.412000179,-0.484259259,-0.088888889,0,0,0,1,0,8,0,1,7,1,-0.375,c,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,0,0.361000061,-0.482407407,-0.088888889,0,0,0,1,0,8,4,1,7,1,-0.375,c,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,0,0.294999838,-0.477777778,-0.091666667,0,0,0,1,0,8,2,1,7,1,0.125,b,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,1,0.279000044,-0.477777778,-0.091666667,0,0,0,1,0,8,7,1,7,1,0.375,n,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,0,0.312000036,-0.474074074,-0.093518519,0,0,0,1,0,8,6,1,7,1,0.125,b,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,0,0.279000044,-0.474074074,-0.093518519,0,0,0,1,0,8,1,1,7,1,-0.125,v,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,1,0.277999878,-0.472222222,-0.094444444,0,0,0,1,0,8,3,1,7,1,0.375,n,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,,,,,,
n,1,0.312000036,-0.471296296,-0.09537037,0,0,0,,,,,,,1.4444,0.375,n,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,1,0,40,11,1,39
n,0,0.427000046,-0.469444444,-0.09537037,0,0,0,,,,,,,2.9998,0.125,b,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,1,0,40,38,1,39
n,0,0.312999964,-0.469444444,-0.09537037,0,0,0,,,,,,,1.6666,-0.375,c,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,1,0,40,12,1,39
n,0,0.394999981,-0.467592593,-0.096296296,0,0,0,,,,,,,2.5554,-0.375,c,,001,2021-01-04_12h40.48.360,choiceRTT,3.1.3,60,1,0,40,28,1,39
