response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mouseResp.clicked_name,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
b,0,5.253000021,0.006510417,-0.002604167,0,0,0,1,0,8,0,1,7,1,-0.375,c,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,,,,,,,
,0,,0.325520833,0.028645833,1,0,0,1,0,8,3,1,7,1,0.375,n,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.053385417,0.016927083,1,0,0,1,0,8,6,1,7,1,0.125,b,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.145833333,0.018229167,1,0,0,1,0,8,1,1,7,1,-0.125,v,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.37109375,0.046875,1,0,0,1,0,8,4,1,7,1,-0.375,c,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.178385417,0.033854167,1,0,0,1,0,8,5,1,7,1,-0.125,v,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.088541667,0.02734375,1,0,0,1,0,8,2,1,7,1,0.125,b,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.341145833,0,1,0,0,1,0,8,7,1,7,1,0.375,n,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.333333333,-0.01953125,1,0,0,,,,,,,1.6666,0.375,n,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,15,1,39
,0,,0.333333333,-0.01953125,1,0,0,,,,,,,2.5554,0.375,n,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,31,1,39
,0,,0.333333333,-0.01953125,1,0,0,,,,,,,2.7776,0.375,n,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,35,1,39
,0,,0.333333333,-0.01953125,1,0,0,,,,,,,2.9998,0.375,n,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,39,1,39
,0,,-0.43359375,0.001302083,1,0,0,,,,,,,2.3332,-0.375,c,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,24,1,39
,0,,-0.348958333,-0.026041667,1,0,0,,,,,,,1.6666,-0.375,c,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,12,1,39
,0,,-0.3359375,-0.010416667,1,0,0,,,,,,,2.111,-0.375,c,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,20,1,39
,0,,0.125,-0.015625,1,0,0,,,,,,,1.6666,0.125,b,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,14,1,39
,0,,-0.108072917,-0.02734375,1,0,0,,,,,,,1,-0.125,v,,001,2021-03-06_12h23.26.784,choiceRTT,3.1.3,60,targImage,1,0,40,1,1,39
