response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.095555556,-0.008888889,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,-0.094444444,-0.068888889,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,0.407777778,-0.052222222,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,0.107777778,-0.03,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,-0.456666667,-0.044444444,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,-0.41,-0.03,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,-0.055555556,-0.032222222,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,0.33,0.02,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,,,,,,
,0,0.323333333,-0.024444444,1,0,0,targImage,,,,,,,1,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.061111111,-0.035555556,1,0,0,targImage,,,,,,,1.6666,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.117777778,-0.026666667,1,0,0,targImage,,,,,,,2.9998,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.325555556,-0.052222222,1,0,0,targImage,,,,,,,2.3332,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.185555556,-0.044444444,1,0,0,targImage,,,,,,,1.8888,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.037777778,-0.023333333,1,0,0,targImage,,,,,,,2.5554,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.353333333,-0.053333333,1,0,0,targImage,,,,,,,1.6666,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.435555556,-0.038888889,1,0,0,targImage,,,,,,,2.5554,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.352222222,0.003333333,1,0,0,targImage,,,,,,,2.7776,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.072222222,-0.018888889,1,0,0,targImage,,,,,,,1.4444,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.386666667,-0.023333333,1,0,0,targImage,,,,,,,2.9998,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.085555556,-0.045555556,1,0,0,targImage,,,,,,,1,-0.125,v,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.112222222,0.018888889,1,0,0,targImage,,,,,,,1,0.125,b,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.411111111,0.001111111,1,0,0,targImage,,,,,,,2.111,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.325555556,-0.005555556,1,0,0,targImage,,,,,,,2.111,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.345555556,-0.055555556,1,0,0,targImage,,,,,,,2.5554,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.334444444,-0.031111111,1,0,0,targImage,,,,,,,1.8888,0.375,n,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.39,-0.001111111,1,0,0,targImage,,,,,,,1,-0.375,c,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.176666667,-0.02,1,0,0,targImage,,,,,,,2.9998,0.125,b,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.165555556,-0.025555556,1,0,0,targImage,,,,,,,1.4444,0.125,b,,001,2021-04-09_11h03.06.920,choiceRTT,3.1.3,60,1,0,40,10,1,39
