keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,2.3528,,,,,,,,1.0528,space,2.0078,0,0,0,3,1,1.3,images/target_cross.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
c,1,1.6797,,,,,,,,0.5797,space,0.8454,0,1,1,0,1,1.1,images/target_cross.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
b,0,1.8806,,,,,,,,0.7806,space,0.8606,0,2,2,5,1,1.1,images/target_square.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
v,1,2.6597,,,,,,,,1.3597,space,1.1684,0,3,3,8,1,1.3,images/target_square.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
b,1,2.5713,,,,,,,,1.0713,space,6.443,0,4,4,4,1,1.5,images/target_plus.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
b,1,2.4448,,,,,,,,1.3448,space,0.9921,0,5,5,7,1,1.1,images/target_plus.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
c,0,2.1927,,,,,,,,0.8927,space,0.4363,0,6,6,1,1,1.3,images/target_plus.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
c,1,2.5829,,,,,,,,1.0829,space,0.4167,0,7,7,6,1,1.5,images/target_cross.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
b,0,2.617,,,,,,,,1.117,space,0.648,0,8,8,2,1,1.5,images/target_square.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,,,,,
c,1,2.0024,,,,,,,,0.9024,,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,-0.03518516,-0.216666688,1,0,0,0,0,0,0,1
b,0,2.0396,,,,,,,,0.7396,,,,,,,,1.3,images/target_square.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,1,1,8,1
b,1,3.6738,,,,,,,,2.5738,,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,2,2,7,1
b,1,3.0559,,,,,,,,1.7559,,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,3,3,1,1
c,1,2.1851,,,,,,,,0.8851,,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,4,4,3,1
v,1,1.9117,,,,,,,,0.8117,,,,,,,,1.1,images/target_square.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,5,5,5,1
b,1,2.4573,,,,,,,,0.9573,,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,6,6,4,1
c,0,2.6107,,,,,,,,1.1107,,,,,,,,1.5,images/target_square.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,7,7,2,1
b,0,2.5713,,,,,,,,1.0713,,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-03_14h33.18.129,choiceRTT,2021.2.3,Win32,60.00960154,,,,,,,0,8,8,6,1
